# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
201998.573, 301.200021, 58.920988
46738.887, 301.241095, 58.954091
916507.309, 301.099267, 58.834746
58736.153, 300.957729, 58.704670
2548.160, 301.089879, 58.818419
5933.823, 301.059849, 58.793177
18737.720, 300.989682, 58.732340
76339.453, 300.992141, 58.737545
42626.470, 301.236685, 58.960832
11124.034, 301.089162, 58.826015
4259.463, 301.133876, 58.863840
3524.854, 301.338726, 59.046256
3757.481, 301.016810, 58.759459
4658.580, 301.051742, 58.791498
6841.958, 301.078323, 58.816341
4641.792, 301.030214, 58.772973
32131.991, 301.038648, 58.785051
7726.465, 301.032462, 58.778812
13364.336, 301.349370, 59.063742
3814.272, 301.130593, 58.869614
17446.818, 301.115879, 58.859592
28279.251, 301.055247, 58.807597
11226.542, 301.141987, 58.883842
10164.973, 301.108911, 58.855442
7260.789, 300.943286, 58.706607
24170.555, 301.031836, 58.787902
3849.449, 301.006261, 58.763657
14242.410, 301.117029, 58.866010
6830.100, 301.131997, 58.878787
14960.195, 300.988701, 58.751528
3444.520, 301.305033, 59.034771
59296.905, 301.055320, 58.817332
23379.365, 301.044733, 58.805765
32736.421, 301.177779, 58.926583
5077.575, 301.002763, 58.768786
3850.819, 301.088301, 58.845740
7248.852, 300.939744, 58.714160
12948.330, 300.992141, 58.762743
43083.388, 300.973651, 58.749238
6412.307, 301.271867, 59.014566
8520.725, 301.085422, 58.849041
22808.594, 301.100080, 58.863983
65226.983, 301.294240, 59.039234
41789.711, 300.958144, 58.737339
4711.834, 301.004644, 58.776641
4716.403, 300.954364, 58.732403
18303.877, 301.009177, 58.785894
3873.323, 300.964514, 58.744806
6722.764, 301.012703, 58.789401
2530.373, 301.110938, 58.877930
8074.922, 300.974094, 58.755634
11941.414, 301.061738, 58.835921
6905.684, 300.927038, 58.714096
42219.556, 301.181907, 58.947894
2588.233, 300.937369, 58.724776
9177.379, 301.283509, 59.038424
3018.456, 300.946648, 58.735759
8511.438, 300.976953, 58.764390
75491.403, 301.302940, 59.060262
18565.916, 301.011785, 58.797870
22724.759, 301.111933, 58.888632
4224.519, 300.948863, 58.741806
19308.779, 300.981733, 58.773092
29658.401, 301.134897, 58.911609
99793.191, 301.202100, 58.976255
60541.870, 300.929280, 58.730691
5493.376, 300.960909, 58.755426
2154.112, 300.997552, 58.790430
43406.523, 301.253402, 59.025337
58884.025, 301.167349, 58.949455
33360.788, 301.209612, 58.986609
7652.783, 300.953099, 58.753415
15328.940, 301.269121, 59.039271
6212.743, 301.317336, 59.081180
2958.986, 300.940588, 58.743784
18379.911, 301.056735, 58.849915
21821.643, 301.136616, 58.921506
2637.104, 300.953224, 58.756449
4302.638, 300.945142, 58.751671
65184.632, 301.170592, 58.959034
9464.190, 300.981788, 58.786358
32951.175, 301.065034, 58.864738
35883.787, 301.135655, 58.929083
7255.264, 300.925341, 58.737421
39115.126, 301.011811, 58.821140
3093.933, 301.117478, 58.912000
57534.030, 301.152688, 58.947861
139833.440, 300.902016, 58.724515
8913.891, 301.048988, 58.852384
19569.441, 300.941518, 58.759517
3432.409, 301.027616, 58.835399
16503.972, 301.108220, 58.910813
26657.542, 301.088747, 58.894692
8152.987, 301.247165, 59.036607
4730.447, 300.903237, 58.729792
8125.790, 300.986509, 58.806159
10522.691, 300.959787, 58.782693
13404.670, 301.294402, 59.083297
10178.923, 300.944827, 58.769611
4354.461, 301.265266, 59.058101
