# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
390402.625, 301.205598, 58.921150
13040.618, 301.263051, 58.969446
6921.486, 301.291583, 58.994204
958677.872, 301.099862, 58.834691
58176.924, 301.242164, 58.953923
3368.856, 301.092714, 58.818464
82044.361, 300.992990, 58.737699
3989.111, 301.337604, 59.041665
11100.686, 300.990116, 58.732505
23772.055, 300.958523, 58.706136
16522.621, 300.954175, 58.702622
12362.499, 301.031403, 58.774687
40597.297, 300.944801, 58.700743
33555.210, 301.234804, 58.961076
55406.203, 301.036560, 58.786561
5575.438, 301.059680, 58.803092
9783.493, 301.349305, 59.063499
2116.007, 301.107153, 58.847558
25680.233, 301.143547, 58.884346
2101.456, 301.150118, 58.888021
16038.385, 301.114432, 58.859159
2904.133, 301.198960, 58.934044
8446.601, 301.007903, 58.763690
2957.302, 300.999816, 58.755921
25092.063, 301.054774, 58.807735
5937.847, 301.152752, 58.896373
13060.445, 301.117391, 58.865660
6250.130, 301.131497, 58.877239
33043.417, 301.043724, 58.801223
4655.616, 301.017860, 58.776983
5942.176, 301.304703, 59.035252
50456.988, 301.056127, 58.817608
2135.602, 301.077408, 58.832620
3015.444, 301.019530, 58.781535
26197.144, 301.177971, 58.926889
10040.078, 300.969790, 58.739618
5539.157, 301.232771, 58.975832
8029.156, 300.993296, 58.763042
46114.229, 300.973950, 58.748902
5025.683, 300.990109, 58.761189
71103.848, 301.294006, 59.039109
15221.289, 301.084766, 58.849098
23831.696, 301.099703, 58.863980
41564.606, 300.958986, 58.737982
14328.154, 301.008734, 58.785681
2620.417, 301.070900, 58.840603
3766.789, 301.196506, 58.953165
10984.373, 301.061765, 58.835733
10022.136, 300.937490, 58.725317
48482.166, 301.181917, 58.947920
74411.478, 301.301869, 59.055678
2101.878, 300.925656, 58.713661
11092.142, 301.283399, 59.038331
5462.563, 301.207024, 58.970997
25091.328, 301.011694, 58.798221
18006.707, 301.111954, 58.888629
4195.039, 300.995205, 58.782366
33409.555, 301.134954, 58.911477
2533.626, 300.919791, 58.716214
14924.340, 300.981382, 58.773395
98111.904, 301.202248, 58.976192
52373.724, 300.928870, 58.730854
6412.145, 301.316215, 59.076619
15226.534, 301.027978, 58.820475
63441.437, 301.167371, 58.949464
41483.135, 301.253382, 59.025526
60545.645, 301.135622, 58.923077
28521.036, 301.208857, 58.986863
12729.067, 301.057082, 58.848971
6366.020, 300.977019, 58.777701
2559.015, 301.004991, 58.802259
2909.007, 301.043865, 58.837324
3433.658, 301.268961, 59.039369
4224.794, 300.904772, 58.712768
18225.676, 300.945294, 58.752409
2576.053, 301.017915, 58.816867
66541.202, 301.170713, 58.958909
4225.371, 300.934392, 58.742039
8024.133, 300.982351, 58.786268
10590.402, 301.121402, 58.912541
24669.956, 301.065568, 58.864882
151421.813, 300.902002, 58.724852
2542.369, 300.924313, 58.738329
2991.056, 301.013040, 58.818560
52508.250, 301.152911, 58.947803
6324.817, 301.047125, 58.851315
22739.739, 301.010859, 58.821273
20858.050, 301.108300, 58.910420
12256.021, 300.940444, 58.759308
34103.024, 301.087743, 58.895038
8099.459, 301.246857, 59.036172
4289.787, 301.264641, 59.051340
2118.117, 301.130067, 58.930891
32929.456, 300.887162, 58.716603
2985.021, 300.956533, 58.776265
7220.587, 301.284387, 59.071355
9727.347, 300.945823, 58.769641
4609.782, 300.938527, 58.763324
24336.718, 300.987271, 58.811315
12651.598, 300.910320, 58.739619
10555.405, 300.947595, 58.774763
5951.819, 300.973015, 58.797474
2511.602, 300.979299, 58.804126
5938.503, 301.012715, 58.835312
54111.447, 301.109838, 58.926633
109289.157, 300.881688, 58.724874
8604.029, 300.987894, 58.815906
12964.964, 301.214527, 59.022359
6727.618, 300.902547, 58.741659
30322.465, 301.011407, 58.842089
33777.915, 301.045395, 58.872746
114891.506, 301.068594, 58.896571
