# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
411056.418, 301.205672, 58.921304
9525.605, 301.291457, 58.993773
60003.527, 301.242272, 58.953975
11405.126, 301.262907, 58.969134
925771.349, 301.099696, 58.834639
3503.289, 301.224613, 58.938623
6827.168, 301.348127, 59.050782
120807.274, 300.991334, 58.736240
18230.110, 301.362304, 59.070261
46862.955, 301.039921, 58.784468
9699.224, 301.087549, 58.825839
18068.967, 301.105797, 58.844124
32684.094, 301.234497, 58.961162
9478.789, 301.349257, 59.063514
7076.404, 301.111199, 58.855154
13766.576, 301.141981, 58.883909
6973.693, 301.080856, 58.828471
6254.323, 301.115275, 58.859538
27195.073, 301.055157, 58.807858
7546.592, 301.032511, 58.788254
24244.501, 301.115736, 58.865862
7006.329, 301.131372, 58.878230
58560.046, 301.056190, 58.817659
26239.646, 301.177701, 58.926889
7911.396, 301.063688, 58.822654
3603.569, 301.294368, 59.029956
2633.760, 301.083951, 58.842753
17997.870, 301.164586, 58.918396
44274.787, 300.973687, 58.748922
17916.134, 301.028365, 58.797275
8005.303, 301.271362, 59.014205
23293.633, 301.100031, 58.863960
69124.801, 301.293914, 59.039068
11919.616, 301.036082, 58.805018
7920.395, 301.085498, 58.849817
44980.418, 300.958354, 58.737398
3521.891, 301.006735, 58.779951
18610.235, 301.008835, 58.785360
6160.994, 301.070545, 58.839487
15873.343, 300.975084, 58.757201
7900.367, 301.063092, 58.836482
8867.173, 300.937965, 58.724933
51704.044, 301.181561, 58.947733
27883.663, 301.312549, 59.064750
4883.070, 300.976984, 58.764506
28719.439, 301.011012, 58.798729
17802.221, 301.111786, 58.888736
37813.835, 301.134727, 58.911543
3112.369, 300.930649, 58.724394
33648.271, 300.981597, 58.772928
2200.821, 301.191675, 58.960549
8020.105, 301.322140, 59.078120
103655.412, 301.202304, 58.976340
2640.823, 300.996364, 58.786557
7536.609, 301.125633, 58.905870
53580.096, 300.929146, 58.731225
2632.880, 301.033294, 58.822384
2231.667, 301.152642, 58.930372
3073.318, 301.028472, 58.820314
61420.442, 301.167389, 58.949513
35823.165, 301.209198, 58.987013
40164.295, 301.252844, 59.025517
4878.611, 301.056664, 58.849331
16791.627, 301.136346, 58.921575
2662.885, 300.977825, 58.778148
2606.366, 300.970912, 58.772308
39047.442, 301.145305, 58.933425
66954.380, 301.170696, 58.959003
4182.109, 301.275888, 59.048342
11426.315, 300.945247, 58.752571
