# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
158639.785, 301.361292, 59.042725
58962.648, 300.969372, 58.695887
6708.139, 301.074419, 58.787908
4564.160, 300.990735, 58.712330
9887.878, 301.108365, 58.819656
1032582.654, 301.100704, 58.833872
4579.539, 301.159497, 58.864701
10612.337, 301.327971, 59.016060
11750.171, 301.204591, 58.907639
439846.251, 301.207052, 58.921104
8634.960, 301.275812, 58.971843
10311.713, 301.279444, 58.979192
23504.442, 301.293340, 58.993442
3637.710, 301.042510, 58.766720
22783.944, 301.264430, 58.968908
7589.679, 301.052479, 58.778701
67590.214, 301.242408, 58.953932
3971.662, 301.040517, 58.769013
6729.699, 301.091740, 58.818232
84545.488, 300.992526, 58.737674
17461.786, 300.989237, 58.732332
27277.334, 300.958360, 58.705953
16955.303, 300.954763, 58.702464
10631.330, 300.969087, 58.718246
2713.259, 301.078106, 58.816972
29547.133, 301.234743, 58.961164
30949.875, 300.945280, 58.700822
34853.801, 301.038625, 58.784967
5479.081, 301.349871, 59.063618
9436.321, 301.114574, 58.859052
17431.439, 301.142059, 58.884352
28589.263, 301.054702, 58.807995
16228.220, 301.032529, 58.788244
11669.207, 301.116622, 58.865773
3610.580, 301.132028, 58.878593
4117.924, 301.038241, 58.794766
9290.257, 300.982462, 58.746522
47025.476, 301.056239, 58.817415
25807.530, 301.177761, 58.926645
3582.525, 301.293643, 59.030323
7119.054, 300.991338, 58.760028
60547.425, 300.973703, 58.748925
22775.268, 301.086155, 58.849461
66837.841, 301.294098, 59.039051
21191.663, 301.100085, 58.863987
36747.076, 300.958376, 58.737482
4762.683, 301.313099, 59.053515
2691.703, 301.002967, 58.776614
14364.554, 301.008893, 58.785821
46070.219, 301.181645, 58.947838
9542.961, 301.283424, 59.038399
11118.429, 300.963758, 58.751462
32543.852, 301.011449, 58.797591
18435.756, 301.112519, 58.888789
31797.237, 301.134930, 58.911549
98693.285, 301.202434, 58.976237
7834.078, 301.275657, 59.036964
18200.462, 300.924093, 58.722831
12065.511, 300.980805, 58.773363
58184.284, 300.929461, 58.731406
58986.105, 301.167699, 58.949611
6270.214, 300.913081, 58.716985
7970.320, 300.954787, 58.754694
22398.286, 301.057385, 58.849568
39056.105, 301.253188, 59.025531
19684.593, 301.136031, 58.921240
7125.272, 301.070844, 58.862495
21147.174, 301.208464, 58.987161
23958.830, 300.992361, 58.795374
3518.481, 301.103096, 58.892428
21060.259, 300.945586, 58.752852
4007.867, 301.002893, 58.803786
62691.940, 301.170783, 58.959042
12831.783, 300.981968, 58.786789
29978.292, 301.065295, 58.864703
