# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
16709.398, 300.966941, 58.696510
31097.622, 301.109099, 58.825018
382901.763, 301.207901, 58.921727
29993.201, 301.264138, 58.969192
4911.714, 301.278861, 58.979273
23108.109, 301.292721, 58.993453
5296.754, 301.085707, 58.807764
1008112.699, 301.099623, 58.834549
3932.100, 300.976459, 58.708789
64986.725, 301.242358, 58.953899
10060.037, 301.092242, 58.818856
10876.077, 301.009154, 58.744613
19670.853, 301.039026, 58.774125
7367.465, 301.074300, 58.804121
5617.354, 301.158777, 58.880088
5324.599, 301.046491, 58.778886
32004.665, 301.194158, 58.916788
2198.573, 300.985802, 58.726559
20554.386, 300.989558, 58.732099
85445.420, 300.992321, 58.737659
46027.599, 300.957417, 58.705169
13558.515, 301.134439, 58.863602
7040.818, 301.139559, 58.870638
5227.814, 301.142624, 58.874967
28007.401, 301.235305, 58.960926
31999.390, 301.038193, 58.784984
14058.846, 300.945512, 58.701263
4369.151, 300.970717, 58.722086
7070.352, 301.010635, 58.759918
8408.390, 301.348873, 59.063856
24822.186, 301.115447, 58.858794
7349.074, 301.098058, 58.842880
12667.101, 301.111345, 58.855439
19477.929, 301.050116, 58.801538
13634.753, 301.142209, 58.883971
27298.679, 301.054759, 58.807995
3932.857, 301.005297, 58.763618
5764.534, 301.032456, 58.788262
3997.940, 301.334895, 59.059329
8734.310, 301.117409, 58.866354
56151.745, 301.056315, 58.817169
4359.894, 301.304117, 59.035413
16901.026, 300.941224, 58.713495
25537.870, 301.177917, 58.927180
19100.419, 301.023513, 58.788415
13058.925, 301.000304, 58.769367
45273.269, 300.974342, 58.749065
10496.764, 301.085528, 58.849013
4454.572, 301.271180, 59.014573
25607.796, 301.099909, 58.864127
67928.139, 301.294070, 59.039306
41098.717, 300.957954, 58.737506
75343.400, 301.308216, 59.056133
15776.718, 301.008736, 58.785891
12699.297, 301.061708, 58.835699
41238.123, 301.182014, 58.947953
10097.125, 301.283331, 59.038471
31063.700, 301.011728, 58.798009
4399.841, 300.977040, 58.764519
26620.342, 301.111174, 58.888466
22927.917, 300.981889, 58.773190
32057.815, 301.135008, 58.911601
2584.006, 300.923962, 58.719237
104934.776, 301.202322, 58.976351
54761.760, 300.928786, 58.730962
101445.092, 301.173657, 58.958358
40267.472, 301.253467, 59.025372
37768.300, 301.140651, 58.924735
54849.965, 301.167269, 58.949579
28165.370, 301.209246, 58.986999
22335.010, 301.056529, 58.849678
14803.142, 300.981824, 58.783864
12292.345, 301.135992, 58.921107
3611.805, 301.270197, 59.039588
19467.732, 300.945164, 58.752525
7857.836, 300.975841, 58.778007
7772.291, 301.018766, 58.820088
15454.543, 301.065111, 58.864903
17384.015, 300.990695, 58.798576
42207.490, 301.011537, 58.820006
56109.254, 301.152650, 58.947611
147903.952, 300.901337, 58.724083
10426.788, 300.978852, 58.791084
13565.021, 300.940846, 58.759374
13772.301, 301.108432, 58.910550
2989.808, 301.265303, 59.050585
30695.870, 301.087793, 58.894707
10114.600, 301.246193, 59.036460
16091.545, 300.904712, 58.730638
3872.621, 300.907848, 58.733884
11792.836, 300.945607, 58.769496
3957.690, 300.969387, 58.790637
8912.952, 301.294164, 59.082879
4790.867, 300.972367, 58.797078
15676.873, 301.011752, 58.835655
99638.547, 300.882593, 58.725137
12218.109, 300.985291, 58.811905
54744.982, 301.109680, 58.926572
8277.547, 300.918390, 58.751762
7392.853, 300.988268, 58.815550
4743.808, 301.092026, 58.909395
30386.176, 301.045079, 58.872575
118176.809, 301.068365, 58.896553
13794.203, 301.284965, 59.086447
98487.970, 300.896371, 58.745369
17572.689, 300.939804, 58.780249
18205.520, 300.961373, 58.802740
52435.694, 300.904786, 58.752154
59353.792, 300.942867, 58.787848
10416.954, 300.974157, 58.814451
45060.677, 301.104775, 58.934186
5182.999, 300.957238, 58.799093
24925.745, 301.112351, 58.940937
30447.422, 301.130939, 58.958360
70590.361, 301.167528, 58.994559
28860.764, 300.994686, 58.840399
4403.061, 301.047514, 58.886846
37488.354, 300.880786, 58.741873
72505.420, 301.015464, 58.864881
30373.733, 301.075106, 58.917040
14122.106, 301.107118, 58.947625
73614.095, 300.886917, 58.754626
7877.949, 300.986915, 58.841102
2625.833, 300.910434, 58.770980
155802.474, 301.137896, 58.982251
8278.473, 301.035082, 58.886376
10336.880, 301.042173, 58.893177
25305.624, 301.240026, 59.073054
17358.984, 300.918073, 58.783456
53267.026, 300.969812, 58.834626
3492.068, 300.859077, 58.731493
397062.118, 300.857457, 58.741451
140277.461, 301.026832, 58.890727
3083.846, 300.903322, 58.773648
2195.724, 300.966706, 58.831081
4826.098, 301.067078, 58.922566
14200.681, 301.189033, 59.032673
16590.142, 300.899438, 58.774287
7029.536, 301.181207, 59.027135
45625.886, 300.954912, 58.828142
2642.068, 300.888223, 58.763513
6885.085, 300.918750, 58.791939
70929.790, 301.000092, 58.871817
35138.640, 301.052019, 58.915390
14233.841, 300.881613, 58.760647
14511.368, 300.950169, 58.823509
23537.599, 300.978987, 58.852142
