# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
32712.703, 300.990670, 58.738110
685900.743, 301.098567, 58.835130
26244.069, 301.197084, 58.922965
39021.092, 300.944488, 58.700394
4316.447, 301.190604, 58.918795
27097.741, 301.038125, 58.785268
27696.654, 301.234672, 58.960905
1949.964, 301.141395, 58.876253
12053.273, 301.010171, 58.760988
7745.240, 300.998078, 58.753265
19520.914, 301.147738, 58.888533
14453.145, 301.142315, 58.883812
1965.856, 301.165517, 58.902954
6572.706, 300.961236, 58.722018
23863.583, 301.055151, 58.807967
11723.984, 301.115562, 58.859603
23003.205, 300.910088, 58.678235
12829.320, 301.032208, 58.788039
5016.723, 301.082048, 58.830901
4241.392, 301.108544, 58.854782
2736.765, 301.198109, 58.935149
40381.682, 300.877555, 58.651725
14067.895, 301.117557, 58.865750
7822.684, 301.130692, 58.877925
50224.826, 301.056598, 58.817403
2010.909, 301.064062, 58.823607
21572.740, 301.177670, 58.926842
5478.150, 300.939977, 58.713922
44334.795, 300.874083, 58.657178
8498.319, 301.271252, 59.010803
50493.296, 300.973797, 58.748729
12148.277, 301.272224, 59.014219
3429.010, 300.889867, 58.670960
4656.651, 300.989580, 58.761202
10192.500, 300.882910, 58.666052
17239.856, 301.085472, 58.849302
41021.792, 300.958481, 58.737641
20924.676, 301.099689, 58.864160
3909.903, 300.876167, 58.662455
42219.671, 300.882158, 58.674028
19891.121, 301.008315, 58.786078
4339.232, 300.924407, 58.709861
17434.726, 300.935868, 58.724050
10533.998, 301.034819, 58.811241
18566.383, 301.060791, 58.836763
5855.887, 300.984040, 58.766189
3109.246, 300.929395, 58.717325
33446.275, 301.181744, 58.947904
3844.765, 300.906155, 58.698722
7766.680, 300.976928, 58.764396
5497.086, 301.207253, 58.970279
1892.184, 300.927335, 58.719814
23531.594, 301.011580, 58.797811
23121.785, 301.112166, 58.888526
3187.153, 300.898894, 58.694622
2979.223, 301.191994, 58.959039
5372.662, 300.915657, 58.713413
7740.178, 300.942001, 58.735983
31105.525, 301.135033, 58.911754
20673.827, 300.981167, 58.773119
90408.129, 301.202430, 58.976343
57401.667, 300.928619, 58.731025
4651.890, 300.880722, 58.685252
11683.371, 300.875928, 58.682916
1881.247, 300.934626, 58.734892
3537.248, 300.887918, 58.694001
51243.137, 301.167396, 58.949484
35716.668, 301.209569, 58.986757
7388.517, 300.980672, 58.779319
77206.011, 301.230608, 59.006863
19082.649, 301.252460, 59.024633
19324.079, 300.983585, 58.785879
21814.169, 301.054797, 58.849589
16464.611, 301.135599, 58.921578
21344.563, 300.945847, 58.752906
7299.192, 300.904515, 58.716184
7349.522, 301.019563, 58.819622
1916.219, 301.032538, 58.830913
56894.279, 301.170727, 58.959022
14005.851, 301.119358, 58.912214
149035.965, 300.902226, 58.724941
31147.663, 301.011782, 58.819443
20680.805, 301.064792, 58.864970
39016.302, 300.844177, 58.667949
18537.186, 300.890418, 58.710331
5149.507, 300.990010, 58.797970
8954.782, 300.881322, 58.701564
51228.476, 301.153088, 58.948018
25546.981, 300.875031, 58.697540
6315.558, 301.245306, 59.027617
4690.954, 301.005296, 58.814525
26587.632, 300.862609, 58.688584
63798.452, 300.863183, 58.694270
9400.249, 300.940967, 58.759494
14645.208, 301.108525, 58.910635
2764.357, 300.929513, 58.749152
19843.366, 301.088706, 58.894724
33782.289, 301.063650, 58.875523
6554.115, 300.834997, 58.670415
4673.832, 300.944505, 58.769356
9312.845, 301.212541, 59.010113
25272.184, 300.837950, 58.678853
9666.480, 300.870902, 58.703917
13646.376, 301.012069, 58.834080
101281.828, 300.868336, 58.712262
38472.582, 300.887722, 58.726078
21745.755, 300.985140, 58.812056
35461.409, 300.991739, 58.819427
7755.031, 300.896631, 58.733696
47942.738, 301.110091, 58.926936
4632.251, 301.026238, 58.850286
5070.571, 300.987447, 58.816066
16328.703, 300.920571, 58.758227
4740.885, 300.820763, 58.667518
1999.141, 301.090489, 58.909505
3483.132, 300.875000, 58.716949
48258.103, 300.877515, 58.723952
27013.088, 301.045132, 58.872718
100077.842, 301.068594, 58.896649
16306.134, 300.939817, 58.780144
3923.868, 300.958731, 58.794694
47862.783, 300.905316, 58.752129
89308.267, 300.895147, 58.745988
2371.285, 300.853626, 58.703185
44044.609, 300.942879, 58.787904
3129.498, 300.819984, 58.673482
2792.213, 300.848719, 58.699316
18767.610, 300.836895, 58.691331
9028.985, 300.974782, 58.815032
71051.550, 301.104911, 58.935453
3098.337, 300.922715, 58.768774
6220.237, 300.954878, 58.797905
26301.987, 301.112676, 58.941091
1913.550, 300.853893, 58.706142
2325.656, 300.928511, 58.773970
12054.753, 300.821924, 58.680964
39122.062, 300.996358, 58.840453
63072.951, 301.167583, 58.994657
2758.498, 300.866444, 58.721954
10130.877, 300.990899, 58.835360
3517.175, 301.026121, 58.866801
32733.383, 300.881930, 58.741971
4326.201, 301.047016, 58.887703
57805.879, 301.015728, 58.864893
23733.522, 301.075606, 58.917154
3477.559, 300.806927, 58.675450
6609.623, 300.934113, 58.791103
18676.192, 301.107297, 58.947796
191053.466, 300.807195, 58.696104
11579.710, 300.809766, 58.683176
3073.085, 300.828426, 58.696811
80914.272, 300.885097, 58.754805
3971.625, 300.986521, 58.840732
137946.479, 301.137756, 58.982285
9004.912, 301.035118, 58.885859
10756.552, 301.042166, 58.892744
2376.080, 300.839694, 58.710509
4782.091, 300.879296, 58.747116
45636.883, 300.970713, 58.834919
7429.814, 300.832899, 58.708259
390849.757, 300.859300, 58.741936
2677.007, 300.935056, 58.800548
31392.100, 300.883619, 58.760849
3598.049, 301.126517, 58.973471
38942.006, 300.956895, 58.827580
116580.657, 301.026593, 58.890665
17729.941, 301.189118, 59.032188
7088.619, 301.067962, 58.923218
1979.460, 301.195785, 59.036318
7396.501, 300.805610, 58.690757
