# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
431189.223, 301.096598, 58.835559
16221.236, 300.989157, 58.738542
38350.335, 300.943979, 58.700478
23488.880, 301.037850, 58.785313
21692.742, 301.234268, 58.961218
15202.161, 301.110969, 58.855070
12182.567, 301.115641, 58.859409
19476.702, 301.142014, 58.883780
4340.496, 300.982024, 58.738657
4914.816, 301.164765, 58.903371
5672.875, 301.000427, 58.757227
29338.784, 301.055134, 58.808119
7218.524, 301.148318, 58.889312
6013.957, 301.080311, 58.829272
30096.686, 300.910103, 58.678518
3806.958, 301.175102, 58.914868
5223.258, 301.004907, 58.763186
14149.242, 301.032306, 58.788152
11267.964, 301.116177, 58.865597
1992.428, 301.079294, 58.832225
1997.320, 301.131411, 58.878686
4824.927, 300.928692, 58.698483
3945.266, 300.965693, 58.732252
53560.350, 301.056570, 58.817739
6891.461, 301.303879, 59.035369
22062.094, 301.177760, 58.926630
5678.386, 301.293692, 59.030366
55772.181, 300.974322, 58.749253
2015.387, 300.994207, 58.762715
2394.953, 300.983356, 58.753761
7577.863, 300.998782, 58.768959
2396.855, 301.003256, 58.771481
42117.684, 300.959018, 58.737810
13778.879, 301.085378, 58.849373
25268.836, 301.100318, 58.863798
6120.300, 301.271694, 59.014325
71653.843, 301.294286, 59.039298
4026.865, 300.921358, 58.701267
8446.094, 300.928863, 58.710548
4409.124, 300.996538, 58.771373
3965.818, 301.024062, 58.795256
24804.037, 301.001078, 58.778636
17359.456, 301.008313, 58.786038
5187.273, 301.069591, 58.839828
18950.759, 301.060915, 58.835872
8821.946, 301.010143, 58.790634
40059.271, 301.181680, 58.947958
15094.992, 301.283273, 59.038662
37790.382, 300.975660, 58.765795
4420.752, 300.899029, 58.694278
18599.984, 301.011090, 58.797913
20236.160, 301.111373, 58.888824
30548.464, 301.135018, 58.911520
17056.540, 300.981539, 58.773160
94300.531, 301.202309, 58.976439
51418.803, 300.929051, 58.730866
6077.734, 301.124846, 58.905847
10743.664, 300.979784, 58.778251
4833.383, 300.989516, 58.785594
14095.965, 300.887615, 58.695098
3284.600, 300.945634, 58.746622
53972.959, 301.167017, 58.949808
33667.353, 301.209318, 58.987084
36533.060, 301.253336, 59.025486
27356.407, 301.136059, 58.921117
17279.261, 301.056408, 58.849913
75395.956, 301.258615, 59.033053
6032.328, 300.998241, 58.797462
5212.797, 301.003055, 58.801568
5659.067, 301.269205, 59.039496
17656.540, 300.982644, 58.786238
9160.706, 300.944654, 58.752823
64201.302, 301.170246, 58.959001
8359.494, 301.032187, 58.832349
26187.008, 301.064880, 58.865048
3312.322, 300.877646, 58.694155
4052.111, 300.927187, 58.739005
35315.922, 301.011428, 58.820422
58974.066, 301.153056, 58.947862
168021.972, 300.901669, 58.724681
24261.695, 300.875167, 58.697522
16397.697, 300.890583, 58.710142
6197.908, 301.272709, 59.054012
11454.217, 300.863663, 58.689095
23754.988, 301.107832, 58.910486
71953.276, 300.862634, 58.694406
8081.657, 300.940551, 58.759564
25038.717, 301.088541, 58.894510
16976.106, 301.246237, 59.036368
2814.778, 301.258034, 59.045380
2098.111, 301.264605, 59.051071
8460.764, 300.945837, 58.769125
32866.493, 301.091347, 58.901981
14460.088, 300.884879, 58.717621
3290.771, 301.240300, 59.036529
143338.453, 300.865971, 58.712351
110511.313, 300.882891, 58.725710
13583.631, 301.013672, 58.835968
3208.775, 300.945203, 58.774130
25264.762, 300.986600, 58.813172
52012.931, 301.110027, 58.926849
2833.644, 300.918862, 58.753220
2796.390, 300.975990, 58.804885
10832.939, 300.921181, 58.757261
2410.384, 301.014197, 58.840450
6434.352, 301.089222, 58.908377
4344.804, 300.951333, 58.784282
2393.876, 301.165992, 58.977533
8369.108, 300.938410, 58.775454
24617.777, 301.045446, 58.872888
107489.880, 301.068384, 58.896659
6886.337, 300.855141, 58.701462
68619.435, 300.896814, 58.745745
12834.393, 300.940034, 58.780242
50111.283, 300.904603, 58.752049
58424.871, 300.942883, 58.787955
11352.105, 300.974874, 58.814104
2021.674, 301.230408, 59.042112
51068.217, 301.104269, 58.934231
3997.130, 300.853921, 58.705307
25334.480, 301.112508, 58.940808
62471.758, 301.167367, 58.994597
2409.613, 300.854102, 58.709632
28770.733, 300.995836, 58.840454
2818.681, 300.963720, 58.809684
11995.274, 300.875145, 58.731850
20866.613, 300.882639, 58.740212
73252.771, 301.015533, 58.864588
11183.286, 301.047209, 58.887574
2846.758, 300.849688, 58.710880
28061.273, 301.074996, 58.917233
26364.362, 300.881859, 58.744282
11248.559, 300.915006, 58.774933
4061.575, 300.950419, 58.805096
10461.308, 301.131158, 58.968999
12494.815, 301.107087, 58.948167
4775.375, 300.840371, 58.707274
66231.393, 300.886633, 58.754733
5570.379, 300.986472, 58.840961
2803.561, 300.869180, 58.734917
146926.600, 301.137749, 58.982106
8870.802, 301.034489, 58.885859
4031.264, 301.121366, 58.963446
48456.958, 300.969782, 58.834721
4860.644, 300.861104, 58.735266
361852.969, 300.858753, 58.741270
23983.898, 301.064800, 58.922723
14675.380, 301.189475, 59.032320
6003.790, 300.830451, 58.709610
128015.749, 301.026671, 58.890808
4012.808, 300.833775, 58.712384
2414.690, 300.896037, 58.770038
29960.588, 300.821966, 58.707983
16490.669, 300.898861, 58.775562
28608.924, 300.949725, 58.823446
27497.984, 300.954911, 58.827956
73266.689, 300.998881, 58.871988
3574.396, 300.881080, 58.760536
4029.943, 301.013970, 58.881278
21717.569, 301.061783, 58.927011
21514.504, 301.140625, 58.998450
8126.891, 301.097455, 58.960533
2035.031, 300.816253, 58.705902
1299750.098, 300.812271, 58.724274
16168.221, 300.959580, 58.840271
4384.789, 301.040385, 58.912342
12428.056, 300.836595, 58.729129
13575.325, 300.952764, 58.837371
2401.669, 300.918737, 58.806652
9222.986, 301.090486, 58.962513
8448.999, 300.846796, 58.743644
8100.469, 301.002893, 58.886593
58914.811, 301.202325, 59.068729
110041.644, 300.862888, 58.766414
7591.975, 300.849933, 58.751044
