# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
386067.631, 301.205517, 58.921261
12298.702, 301.263059, 58.969375
5000.766, 301.291307, 58.993956
880803.051, 301.099824, 58.834670
58537.633, 301.242350, 58.953930
4935.484, 300.958679, 58.695856
9344.129, 301.092378, 58.818442
7189.213, 301.032709, 58.768259
4528.420, 301.058398, 58.790914
9932.354, 300.990276, 58.732353
91833.947, 300.992257, 58.737768
22501.712, 300.958620, 58.706492
20643.671, 300.953854, 58.702514
13848.417, 301.031371, 58.773756
5771.571, 301.091036, 58.827045
50427.728, 300.944749, 58.700762
42942.146, 301.038947, 58.785450
31513.342, 301.234411, 58.961373
4931.612, 301.009721, 58.760390
2245.725, 301.165826, 58.903296
14009.127, 301.141948, 58.883920
8987.644, 301.114490, 58.859640
25394.002, 301.055252, 58.808045
2292.792, 301.110628, 58.855666
11196.899, 301.032134, 58.788248
8533.934, 301.116229, 58.865530
7186.905, 301.068562, 58.823045
52760.175, 301.056320, 58.817762
24428.381, 301.177934, 58.926597
3575.963, 300.938870, 58.713024
54743.708, 300.974370, 58.749308
2214.357, 300.990396, 58.760078
4091.102, 301.000837, 58.769940
21469.801, 301.085220, 58.849328
74644.778, 301.294206, 59.039288
49886.279, 300.958625, 58.737534
16380.427, 301.099786, 58.863885
3621.740, 301.017053, 58.788349
24201.287, 301.009231, 58.786246
7112.317, 301.047139, 58.820311
12530.273, 300.939736, 58.725409
5347.624, 300.975888, 58.757240
16593.585, 301.062032, 58.836059
3587.472, 301.035019, 58.811284
41543.814, 301.181692, 58.947844
26569.675, 301.273763, 59.029275
10487.207, 301.283337, 59.038683
9629.420, 301.301672, 59.055258
10729.881, 300.976956, 58.764128
25207.389, 301.011673, 58.798123
16216.141, 301.112173, 58.888413
36267.242, 301.135070, 58.911849
24818.948, 300.981097, 58.773433
4890.283, 301.039883, 58.824237
3154.112, 300.991975, 58.782277
103593.863, 301.202269, 58.976388
3156.429, 301.060589, 58.845137
57608.337, 300.929187, 58.730955
2185.527, 300.999382, 58.793354
2747.589, 300.967312, 58.764654
63744.962, 301.167498, 58.949559
38066.365, 301.253270, 59.025521
27534.164, 301.209829, 58.986938
57317.083, 301.135239, 58.923160
8051.487, 300.978138, 58.778121
9904.844, 301.056575, 58.849974
4947.231, 300.908381, 58.716578
20215.236, 300.944482, 58.752359
12205.379, 301.265375, 59.038985
3135.193, 301.020536, 58.818996
11205.063, 300.981842, 58.786042
64700.060, 301.170669, 58.958809
9404.383, 301.121025, 58.912379
20243.940, 301.066117, 58.864906
227787.492, 300.899197, 58.724574
51826.642, 301.012091, 58.819748
2700.101, 300.946817, 58.757221
6302.511, 301.058841, 58.860165
53730.316, 301.153014, 58.947721
19783.319, 300.940825, 58.759116
4053.241, 300.990296, 58.803559
26698.584, 301.088853, 58.894800
12642.289, 301.107965, 58.910794
4511.841, 300.945596, 58.769554
4928.683, 300.933748, 58.759712
3986.085, 300.938644, 58.766585
3180.350, 300.971876, 58.796985
62478.503, 301.109885, 58.926757
7629.573, 300.984801, 58.811070
4089.180, 301.123829, 58.936411
2714.883, 300.943206, 58.774092
6270.086, 300.987562, 58.815844
122132.917, 301.068978, 58.896552
4544.016, 301.175616, 58.986235
17903.501, 301.214056, 59.022204
3592.252, 300.934330, 58.769589
33897.594, 301.044488, 58.872874
7577.805, 300.938965, 58.776954
58648.780, 300.876945, 58.724466
22313.932, 300.940193, 58.780505
55956.379, 300.904631, 58.752312
70067.330, 300.942723, 58.788028
13896.860, 300.962592, 58.802060
78639.848, 300.896320, 58.746126
50158.076, 301.104899, 58.934104
25690.423, 301.112973, 58.941206
5420.843, 300.973831, 58.814843
69043.001, 301.167397, 58.994554
38662.085, 300.993785, 58.839932
56715.941, 300.881433, 58.741279
9840.272, 301.046775, 58.887167
14303.960, 300.876576, 58.734144
75899.582, 301.016295, 58.864891
4928.579, 300.931519, 58.783148
5306.938, 300.891007, 58.749381
23119.626, 301.075383, 58.917166
3667.204, 300.996956, 58.845841
5019.188, 301.104865, 58.944041
11213.595, 301.107174, 58.947775
4047.850, 301.000479, 58.852220
76899.025, 300.886230, 58.754655
152347.997, 301.137860, 58.982183
3170.837, 300.875211, 58.740676
142524.652, 301.027094, 58.890064
3207.140, 300.938085, 58.799646
21011.240, 301.240189, 59.073019
6698.211, 300.860608, 58.730734
4435.648, 301.053168, 58.905755
2690.427, 301.128318, 58.972875
55407.557, 300.970354, 58.834948
2749.902, 300.920452, 58.786554
7622.197, 300.915896, 58.785660
11884.762, 301.189276, 59.032179
335741.327, 300.858707, 58.741154
7382.120, 300.998462, 58.860407
4989.082, 301.149583, 58.997498
25467.960, 300.897867, 58.776220
29097.271, 300.949642, 58.823052
27146.121, 300.955228, 58.827778
69168.748, 300.999721, 58.871957
6791.746, 300.880985, 58.760953
6735.442, 301.013487, 58.882558
14986.600, 301.141240, 58.998338
3709.116, 301.222032, 59.069298
8136.199, 300.978717, 58.852461
32183.560, 301.045751, 58.914538
16096.756, 300.926804, 58.805768
21570.486, 300.959741, 58.839923
2669.302, 300.973401, 58.850482
11141.898, 300.897536, 58.784041
8031.860, 300.846860, 58.738720
12147.959, 300.951529, 58.837586
6289.806, 300.902012, 58.793012
57406.198, 301.202462, 59.068616
116700.889, 300.862883, 58.766467
3580.385, 300.911070, 58.805413
23051.425, 301.065930, 58.947681
17099.301, 301.106960, 58.984510
19644.974, 300.923659, 58.819863
145599.733, 301.023116, 58.914325
8568.829, 300.834159, 58.738288
7154.965, 300.845740, 58.751858
8879.702, 300.837858, 58.745869
33700.782, 301.111721, 58.995182
2756.827, 300.912838, 58.818234
37740.612, 301.047024, 58.943030
121534.731, 301.131941, 59.022224
2264.288, 300.825163, 58.739209
60789.682, 300.983411, 58.889048
59941.882, 301.119628, 59.012817
