# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
630070.389, 301.098852, 58.834928
38076.890, 301.197369, 58.922783
46504.318, 300.990686, 58.738025
26150.580, 301.038579, 58.784764
16887.135, 301.234686, 58.961399
2786.163, 301.107960, 58.849321
5536.810, 300.983310, 58.738415
3270.835, 301.115402, 58.859439
4148.902, 301.141790, 58.883700
22079.233, 301.055086, 58.807641
8658.770, 301.152541, 58.896225
2350.475, 301.006064, 58.763535
4234.168, 300.990216, 58.751800
2856.160, 301.031392, 58.788416
49839.331, 301.055993, 58.817636
18203.722, 301.177990, 58.927205
42849.057, 300.974125, 58.748979
45731.356, 300.959171, 58.737328
62934.479, 301.293867, 59.039204
13610.484, 301.099907, 58.864064
20258.004, 301.044423, 58.815778
17734.726, 301.009553, 58.785996
37718.095, 301.181563, 58.947762
3235.336, 301.282919, 59.038318
12512.733, 301.011714, 58.798161
19968.069, 300.980174, 58.773245
5674.397, 301.111623, 58.888776
23613.005, 301.134697, 58.911864
91982.447, 301.202180, 58.976457
50696.291, 300.929467, 58.730839
51358.536, 301.167535, 58.949528
35456.738, 301.253159, 59.025443
8844.905, 301.135889, 58.921206
11481.767, 300.917637, 58.725411
6603.629, 301.056487, 58.850080
11246.639, 301.208280, 58.987160
4458.287, 301.302498, 59.070470
6445.894, 300.982806, 58.785987
60540.213, 301.170953, 58.958992
18193.016, 301.065133, 58.865247
21699.188, 301.011278, 58.819343
58031.425, 301.153026, 58.948009
82658.512, 300.903508, 58.726889
13582.603, 301.088383, 58.894813
9341.535, 301.107463, 58.910745
34026.343, 301.134982, 58.939035
2794.778, 301.246450, 59.036213
6470.556, 300.946064, 58.769714
5609.385, 300.985648, 58.812058
6498.700, 301.011668, 58.834988
51248.130, 301.110173, 58.926919
2279.941, 300.943809, 58.774470
2760.131, 300.968317, 58.798853
115627.165, 301.068490, 58.896534
25358.886, 301.044960, 58.872751
15531.818, 301.284755, 59.086768
81962.587, 300.896241, 58.745737
6538.156, 300.940148, 58.780298
46283.528, 300.904770, 58.752096
54262.206, 300.942932, 58.787714
49741.289, 301.105147, 58.934083
8212.365, 300.974799, 58.814760
16780.416, 301.111941, 58.941115
62449.781, 301.167490, 58.994546
20588.421, 300.995810, 58.840183
65371.167, 301.015614, 58.865003
5077.371, 300.880677, 58.740060
12680.370, 301.075420, 58.917396
9204.662, 300.908434, 58.769179
152391.208, 301.137866, 58.982214
77253.171, 300.886105, 58.754751
16541.990, 301.240151, 59.073061
41239.094, 300.969907, 58.834662
122245.988, 301.026678, 58.890623
302612.724, 300.859363, 58.741576
57887.013, 301.000230, 58.871258
4607.302, 300.900552, 58.775878
23295.430, 300.955275, 58.828192
11674.711, 300.950470, 58.823469
13148.792, 301.141504, 58.998436
4193.664, 300.865134, 58.749424
12655.817, 300.960040, 58.840205
13089.791, 300.952583, 58.837218
118942.968, 300.863479, 58.766384
56436.860, 301.202445, 59.068787
156345.701, 301.023423, 58.914085
15265.689, 300.843450, 58.747353
11645.087, 301.065217, 58.947492
9838.500, 301.105914, 58.984737
26917.781, 301.111622, 58.995144
8897.025, 301.238901, 59.109749
38935.883, 301.046760, 58.942760
114440.841, 301.132198, 59.022044
64378.095, 300.983120, 58.889217
54734.696, 301.119865, 59.013010
13005.685, 300.960427, 58.867654
53242.913, 300.916179, 58.830607
8892.376, 300.988802, 58.895945
87156.446, 300.935380, 58.858670
18480.631, 301.141746, 59.043532
3253.968, 300.905145, 58.830217
26841.888, 301.101059, 59.008642
46709.362, 301.193667, 59.092412
508135.860, 300.819640, 58.765626
15435.274, 301.074905, 58.986723
4649.502, 300.975556, 58.896670
6560.260, 301.174708, 59.076417
86297.033, 300.837943, 58.779385
14320.562, 300.902699, 58.835774
17760.773, 300.884657, 58.818965
4189.168, 301.066236, 58.981678
24599.808, 301.139065, 59.054552
20038.908, 300.869776, 58.812600
2767.666, 300.942950, 58.876809
7794.724, 300.810385, 58.758489
40429.875, 300.923102, 58.867150
18153.809, 301.014220, 58.948365
24927.423, 300.968692, 58.908366
17185.479, 300.884124, 58.832409
37706.292, 301.058686, 58.992997
3766.414, 300.986094, 58.925360
2850.704, 301.042104, 58.975538
4561.459, 300.807284, 58.763978
40557.183, 301.160446, 59.087505
3765.755, 300.867126, 58.822588
44589.552, 300.818644, 58.782357
48900.200, 300.798917, 58.766608
14760.748, 300.832816, 58.795197
16216.840, 300.875055, 58.837614
24944.787, 300.980221, 58.933972
24664.888, 301.144848, 59.081827
18861.670, 300.807720, 58.778989
24057.823, 301.130775, 59.070356
20835.357, 300.802904, 58.774918
77817.968, 301.022901, 58.976166
11706.287, 301.089887, 59.035286
44266.288, 300.824178, 58.798331
9701.783, 300.836202, 58.807496
7936.142, 300.939224, 58.900349
25539.050, 301.077351, 59.028804
6577.876, 301.109751, 59.058844
21384.025, 300.974926, 58.940299
58355.384, 300.847453, 58.827578
6502.635, 300.930719, 58.902296
13438.009, 300.960777, 58.930418
79102.633, 301.020074, 58.991800
6440.168, 300.935944, 58.911576
83866.468, 300.961451, 58.941622
20633.822, 301.002483, 58.975595
13478.138, 300.890830, 58.875337
8353.557, 300.926032, 58.907635
65800.675, 300.774228, 58.776508
93419.430, 300.856799, 58.853245
2790.139, 300.978545, 58.958613
27615.851, 301.143858, 59.110501
16581.390, 301.093374, 59.065202
7491.968, 300.867455, 58.863343
6108.318, 300.766450, 58.772294
38139.650, 301.112300, 59.086980
200348.650, 301.017125, 59.006950
5989.988, 300.821310, 58.823368
20873.668, 300.887979, 58.886369
25331.006, 300.867686, 58.868847
9316.307, 300.775094, 58.785111
28842.350, 300.784970, 58.796022
4608.288, 300.843422, 58.848156
59137.278, 300.806719, 58.822288
7490.916, 300.791438, 58.803252
39626.553, 301.022566, 59.016892
4612.759, 300.977221, 58.974872
9463.224, 301.030976, 59.025541
46454.934, 300.766609, 58.789571
25784.689, 300.961282, 58.965763
41598.575, 301.131539, 59.119108
8736.539, 300.755392, 58.779992
7337.520, 300.829608, 58.847610
66535.007, 300.743940, 58.776242
37315.181, 301.092681, 59.089122
5135.008, 300.902958, 58.916637
4592.315, 300.777744, 58.804556
265425.805, 300.899601, 58.922685
37250.356, 300.809592, 58.837347
98856.974, 300.774060, 58.809610
11039.025, 300.751596, 58.785555
33598.277, 300.958604, 58.979332
18838.743, 300.861233, 58.894131
38302.882, 300.743908, 58.793429
3254.642, 300.816055, 58.855914
6911.368, 300.739487, 58.786820
61788.731, 300.831921, 58.874137
50577.276, 300.954347, 58.985757
32302.996, 301.042270, 59.065625
9245.657, 300.843307, 58.885088
7847.256, 300.797054, 58.844404
4217.206, 300.836723, 58.881278
62801.509, 301.017930, 59.053265
2335.092, 300.722049, 58.783176
6509.905, 300.736533, 58.797509
36192.032, 301.053091, 59.086040
9241.767, 300.755692, 58.816921
19494.224, 300.886928, 58.938611
9841.099, 300.939297, 58.984659
3703.530, 300.820606, 58.880922
20435.203, 300.717997, 58.790173
7360.336, 300.761622, 58.829408
4194.112, 300.824683, 58.886820
66430.501, 300.830258, 58.896038
4656.933, 300.750594, 58.822415
55668.922, 300.926160, 58.985031
8370.095, 300.739815, 58.814216
26067.040, 300.947853, 59.005089
10737.032, 301.048164, 59.093551
74493.120, 300.845377, 58.917937
37006.753, 301.075465, 59.128910
41431.330, 301.021695, 59.082541
48374.371, 300.914273, 58.987255
36987.291, 300.833293, 58.917144
31783.103, 300.958932, 59.030066
6034.494, 300.760425, 58.850899
11723.756, 300.768118, 58.859404
12939.097, 300.774911, 58.866228
327932.241, 300.956570, 59.045000
74379.001, 300.718865, 58.822646
3794.411, 301.035957, 59.104433
63100.009, 300.867412, 58.957647
4656.468, 300.820539, 58.912073
35637.911, 300.858348, 58.950088
6542.612, 300.750560, 58.850871
84418.570, 300.993797, 59.075231
3252.305, 300.939375, 59.023909
6056.446, 300.683270, 58.794795
4681.125, 300.742318, 58.847922
66831.663, 300.872420, 58.969917
58387.969, 300.707091, 58.821676
28928.209, 300.726150, 58.837051
2829.114, 300.787255, 58.890292
26929.237, 300.767531, 58.877023
3295.601, 300.832334, 58.934653
38877.003, 300.896470, 58.996987
5133.297, 300.863359, 58.964625
8298.556, 300.884731, 58.984789
26646.123, 300.891828, 58.992532
24892.172, 300.686333, 58.807489
6993.704, 300.698243, 58.817732
166716.962, 300.749665, 58.871996
3683.616, 300.679130, 58.800178
49215.119, 300.774698, 58.890697
19460.073, 300.883530, 58.988334
52688.389, 300.675015, 58.803984
3721.705, 300.804374, 58.918026
2324.470, 300.800022, 58.916656
2339.514, 300.690078, 58.816902
8864.650, 300.906911, 59.015630
5595.803, 300.712718, 58.840727
4692.978, 300.756621, 58.880775
7531.255, 300.973106, 59.076781
13390.463, 300.829289, 58.948254
13011.022, 300.864008, 58.981301
2290.965, 300.729035, 58.857391
29025.970, 300.881112, 59.002287
6962.136, 300.686442, 58.823472
176179.575, 300.746995, 58.893078
42118.265, 300.663573, 58.807215
19908.142, 300.703614, 58.841478
33717.782, 300.963639, 59.077911
5534.896, 300.808558, 58.935951
57286.064, 300.937020, 59.058153
19623.086, 301.019106, 59.130237
9754.589, 300.748693, 58.886620
7419.322, 300.712832, 58.855019
2327.996, 300.792662, 58.926453
5981.492, 300.675817, 58.821745
3237.718, 300.733451, 58.873559
175737.686, 300.813480, 58.954340
81901.273, 300.827918, 58.964954
6078.462, 300.685223, 58.831053
40947.684, 300.885431, 59.016250
2312.876, 300.991483, 59.108960
87841.246, 301.034628, 59.151845
96090.185, 300.674547, 58.830627
4229.929, 300.725114, 58.871301
2818.078, 300.755341, 58.898441
33735.178, 300.925100, 59.054863
18313.687, 300.665222, 58.819747
2822.657, 300.691720, 58.844330
63191.225, 300.837563, 58.982657
5534.464, 300.708481, 58.863153
103793.962, 300.727779, 58.891160
58852.329, 300.686615, 58.851118
42055.220, 300.923005, 59.060880
10156.105, 300.646245, 58.808608
4708.613, 300.716612, 58.871689
24378.599, 300.637975, 58.805768
6545.599, 300.667879, 58.834876
186868.088, 300.850315, 59.004976
4647.208, 300.648343, 58.816021
6079.004, 300.712369, 58.874898
2765.023, 300.657387, 58.824740
2774.678, 300.717679, 58.880687
4184.557, 300.774326, 58.933719
12498.059, 300.838099, 58.991860
106527.306, 300.635637, 58.812798
2776.745, 300.670428, 58.840036
2728.918, 300.706502, 58.872880
26910.091, 300.789273, 58.952578
18260.100, 300.744832, 58.914403
16085.203, 300.671258, 58.848209
2333.482, 300.766251, 58.933124
2320.311, 300.641138, 58.820409
18523.756, 300.648840, 58.830128
3188.444, 300.687907, 58.865499
17606.654, 300.732896, 58.909879
6040.639, 300.641874, 58.825631
18980.107, 300.805729, 58.976948
17146.919, 300.621535, 58.810133
43072.506, 300.780246, 58.956772
4669.119, 300.655921, 58.841973
4625.937, 300.647244, 58.836821
2831.551, 300.643164, 58.833665
12535.411, 300.823627, 58.999578
18971.293, 300.725976, 58.912358
3711.971, 300.768273, 58.948901
52921.910, 301.003034, 59.164945
4659.576, 300.648720, 58.840879
26269.667, 300.826188, 59.004921
10560.082, 300.637204, 58.833378
16935.178, 300.803316, 58.984892
6175.437, 300.941723, 59.108884
31146.636, 300.714107, 58.906622
118013.394, 300.982136, 59.152491
20502.805, 300.682829, 58.877822
3270.697, 300.909368, 59.082487
79913.818, 300.802387, 58.993355
66064.525, 300.888467, 59.070580
31809.324, 300.795281, 58.986932
23929.359, 300.682794, 58.886130
3345.319, 301.000866, 59.170230
6457.219, 300.640056, 58.844354
8212.404, 300.693430, 58.893746
60911.367, 300.829513, 59.020684
37662.106, 300.991817, 59.165573
13861.838, 300.659706, 58.864262
19879.961, 300.607753, 58.817761
65069.545, 300.641531, 58.852434
15301.023, 300.725178, 58.927270
24509.616, 301.004699, 59.179953
37631.911, 300.731020, 58.934339
42400.626, 300.764623, 58.965665
468543.976, 300.988747, 59.175916
2345.938, 300.683918, 58.892842
9188.183, 300.709131, 58.916977
5569.370, 300.772854, 58.974757
2752.148, 300.689739, 58.899363
46192.519, 300.643768, 58.863585
51428.374, 300.666236, 58.882515
26081.547, 300.650237, 58.870015
16572.303, 300.601768, 58.825122
5599.021, 300.628911, 58.848087
18102.395, 300.791169, 58.999170
20542.681, 300.655692, 58.876179
4172.646, 300.604887, 58.828609
48579.284, 300.880451, 59.084156
65148.723, 300.678204, 58.901845
6253.841, 300.866415, 59.068882
31530.232, 300.964291, 59.159854
39194.627, 300.738920, 58.958490
36350.038, 300.817724, 59.029745
42573.425, 300.824571, 59.037025
179880.729, 300.654340, 58.891553
3732.819, 300.599198, 58.831746
4579.650, 300.625570, 58.857901
4138.033, 300.655827, 58.884468
15845.249, 300.775887, 58.995199
18004.320, 300.582879, 58.822195
55997.114, 300.683874, 58.918490
13974.510, 300.894975, 59.105885
4100.474, 300.710492, 58.940083
52794.975, 300.738058, 58.971247
2719.652, 300.588103, 58.831825
2798.016, 300.633958, 58.873995
7357.227, 300.667642, 58.905660
145315.709, 300.905074, 59.126587
2370.706, 300.620854, 58.863372
16994.956, 300.627435, 58.872110
45297.541, 300.948659, 59.164518
3262.455, 300.660828, 58.901444
11948.137, 300.573614, 58.824109
7845.106, 300.597801, 58.845613
7882.974, 300.688942, 58.928681
12687.486, 300.851528, 59.076687
55188.289, 300.617042, 58.867343
5184.204, 300.888424, 59.110801
6996.101, 300.585124, 58.837517
368105.786, 300.627912, 58.886624
14270.037, 300.693967, 58.937560
4665.615, 300.697034, 58.939851
5654.094, 300.793557, 59.026744
11865.236, 300.766235, 59.004363
83236.596, 300.598872, 58.857295
24696.690, 300.717793, 58.962737
2366.072, 300.659055, 58.907639
4675.731, 300.885241, 59.113469
4139.640, 300.663576, 58.913521
7033.951, 300.684790, 58.933476
2832.093, 300.702874, 58.949044
7382.924, 300.581784, 58.842261
2791.008, 300.666232, 58.918157
26724.647, 300.801809, 59.044497
9703.640, 300.702919, 58.953808
9231.167, 300.576203, 58.839179
17021.668, 300.604381, 58.866197
2380.396, 300.567339, 58.831055
2750.863, 300.675725, 58.930200
16945.424, 300.938954, 59.170427
3722.252, 300.634873, 58.894236
103912.335, 300.665161, 58.926670
2344.341, 300.719269, 58.970636
69739.298, 300.848824, 59.092482
5482.915, 300.678757, 58.935365
7878.451, 300.598202, 58.863207
4604.532, 300.679207, 58.938021
6482.520, 300.681735, 58.941586
4158.102, 300.729825, 58.987389
36351.036, 300.586187, 58.861014
8458.248, 300.800583, 59.054470
6066.208, 300.890130, 59.135103
2245.912, 300.610406, 58.880551
6925.773, 300.630968, 58.905377
2827.089, 300.578304, 58.855999
2776.799, 300.611494, 58.886430
5939.340, 300.662112, 58.934312
6601.418, 300.842021, 59.097602
30531.666, 300.618199, 58.897101
8785.279, 300.574116, 58.854733
7851.204, 300.590627, 58.870941
20908.423, 300.782696, 59.047210
21364.649, 300.565292, 58.849128
35852.846, 300.622247, 58.902210
17719.054, 300.810534, 59.071979
7931.756, 300.703354, 58.976171
62734.969, 300.893244, 59.151489
10579.508, 300.546527, 58.834112
2340.096, 300.640292, 58.918547
2325.865, 300.698223, 58.971047
17660.192, 300.672785, 58.954857
42123.874, 300.790427, 59.062641
33165.552, 300.544542, 58.838548
4142.616, 300.661549, 58.944142
7491.683, 300.871180, 59.134449
4578.341, 300.569720, 58.861515
20219.026, 300.740094, 59.018196
29176.899, 300.663644, 58.950405
3255.868, 300.612730, 58.902288
121143.967, 300.579424, 58.881250
23509.534, 300.676328, 58.964771
5509.105, 300.535973, 58.836025
6353.217, 300.594892, 58.889919
8348.275, 300.539341, 58.840696
10204.201, 300.545606, 58.845739
6072.501, 300.561979, 58.861911
11714.318, 300.812411, 59.090945
16334.047, 300.826685, 59.103789
5569.768, 300.568838, 58.869254
8313.242, 300.637083, 58.934074
48811.377, 300.867147, 59.145573
2390.832, 300.530810, 58.836623
38300.960, 300.655456, 58.954412
6935.041, 300.744864, 59.033036
32983.271, 300.777463, 59.064173
9650.486, 300.626956, 58.927158
5912.959, 300.662373, 58.960471
48379.524, 300.538329, 58.848991
3711.536, 300.693165, 58.987463
5101.596, 300.589017, 58.893546
10030.338, 300.559586, 58.869472
12044.043, 300.612615, 58.917405
11371.744, 300.897860, 59.177912
34846.924, 300.634523, 58.942094
295824.023, 300.702740, 59.009863
8467.161, 300.742898, 59.038589
5168.745, 300.528554, 58.843969
5076.392, 300.615486, 58.924294
4136.565, 300.558299, 58.873824
4286.531, 300.770967, 59.067829
