# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
204114.552, 301.361515, 59.042636
24270.775, 301.075467, 58.788032
10470.772, 300.992399, 58.712265
13054.293, 301.089263, 58.800245
5040.974, 301.349567, 59.032597
84266.972, 301.110759, 58.823867
8847.669, 301.159759, 58.864144
15865.705, 301.327643, 59.016005
16407.008, 301.276253, 58.972003
8493.879, 301.204656, 58.907215
466311.343, 301.206722, 58.921064
2129.557, 301.331132, 59.020805
5152.770, 301.236677, 58.939397
2121.857, 301.232923, 58.935538
2113.089, 300.970783, 58.700293
5956.098, 301.279161, 58.978830
26826.470, 301.292518, 58.993678
26624.321, 301.264299, 58.968887
974278.085, 301.100468, 58.834869
62730.343, 301.242492, 58.953888
10806.145, 301.091896, 58.818338
24730.604, 300.991407, 58.732025
4242.154, 301.061452, 58.792880
10491.039, 301.096900, 58.825998
6675.061, 301.116999, 58.844907
3309.111, 301.155718, 58.879431
85681.860, 300.992173, 58.737850
25680.975, 300.958233, 58.706372
24199.315, 301.062059, 58.803373
11689.440, 301.139568, 58.871845
7013.430, 301.090034, 58.828249
31352.682, 301.038353, 58.784598
14431.263, 301.349476, 59.063474
24867.000, 301.234477, 58.961154
5009.170, 300.999698, 58.751629
5864.472, 301.026006, 58.775275
17259.670, 301.116407, 58.859107
13858.537, 301.165703, 58.903374
26618.220, 301.055827, 58.807872
7519.860, 301.110421, 58.855802
18425.750, 301.141923, 58.884206
19975.294, 301.032093, 58.788924
3394.075, 301.151060, 58.896095
2964.802, 300.970844, 58.733921
10399.853, 300.989780, 58.751670
5002.765, 301.008299, 58.768227
6334.009, 301.116912, 58.866180
4682.595, 301.288300, 59.020460
59477.142, 301.056488, 58.817559
2524.721, 301.304462, 59.035595
3340.003, 301.062715, 58.821008
24182.423, 301.177561, 58.926732
14445.722, 300.944623, 58.717351
55674.262, 300.974465, 58.749433
75243.542, 301.319766, 59.057719
3329.248, 301.002396, 58.770109
6683.924, 301.271764, 59.014632
18009.842, 301.085209, 58.849462
99209.847, 301.291300, 59.039151
44068.063, 300.958696, 58.737741
3786.941, 301.059277, 58.825946
20698.949, 301.099647, 58.864105
36798.875, 301.008335, 58.784773
23300.212, 300.974189, 58.757619
4029.178, 301.334355, 59.078495
6286.352, 301.062572, 58.836172
46563.411, 301.181666, 58.947752
3812.283, 301.019906, 58.800575
8034.860, 301.022249, 58.802999
6292.694, 301.206646, 58.970531
27866.724, 301.112002, 58.888614
25183.791, 301.011230, 58.797736
38922.893, 301.152542, 58.926549
2961.089, 300.975817, 58.764514
41732.726, 301.134949, 58.911614
25160.528, 300.981870, 58.773002
3012.364, 301.323267, 59.078286
8767.192, 300.939662, 58.736195
4255.719, 301.086830, 58.867856
98858.896, 301.202237, 58.976289
54793.384, 300.929529, 58.731027
2642.509, 301.301671, 59.061231
4652.895, 300.946833, 58.743523
3302.176, 301.090505, 58.876667
57598.266, 301.167269, 58.949417
41814.786, 301.253077, 59.025423
4208.284, 301.051234, 58.841993
18947.649, 301.057346, 58.849785
2488.381, 301.031076, 58.824635
23999.670, 301.135602, 58.921182
2065.780, 301.026145, 58.820498
24398.716, 301.208411, 58.986897
24628.174, 300.982559, 58.786132
5416.143, 300.917196, 58.725115
67578.798, 301.170869, 58.959007
5059.077, 300.945570, 58.752157
6286.574, 301.018442, 58.819774
7913.722, 301.121066, 58.912418
25113.642, 301.065732, 58.865285
13771.221, 300.943243, 58.754436
5814.362, 301.006025, 58.810371
2946.263, 300.956040, 58.765855
13115.332, 301.012951, 58.818272
54398.956, 301.152725, 58.947888
132291.593, 300.902021, 58.724424
2486.142, 301.120078, 58.917087
22286.342, 301.011013, 58.821680
27396.157, 301.108151, 58.910917
5461.920, 300.933002, 58.750338
15052.917, 300.941400, 58.759763
26625.685, 301.089126, 58.894824
3755.695, 301.211573, 59.002387
7245.363, 301.246944, 59.036078
3788.135, 300.944951, 58.764059
15895.296, 301.232406, 59.024627
4647.391, 301.285028, 59.070946
5037.143, 300.902705, 58.730004
5940.673, 300.945974, 58.769892
8821.448, 301.293711, 59.083171
5509.801, 301.264949, 59.057461
4093.505, 300.953179, 58.779012
10817.546, 300.968533, 58.796661
17537.884, 301.013399, 58.835288
43277.905, 300.888612, 58.726699
111136.381, 300.899860, 58.745762
11810.035, 300.985599, 58.811957
52204.983, 301.109744, 58.926812
28460.451, 301.045395, 58.872723
116105.724, 301.068395, 58.896525
29595.501, 301.284568, 59.086862
2987.034, 300.919500, 58.758409
18862.542, 300.940848, 58.779710
55818.170, 300.905243, 58.752200
