# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
22490.807, 301.055221, 58.807711
30675.285, 301.088597, 58.838448
11725.039, 301.141269, 58.884014
4979.864, 301.164876, 58.904657
14782.161, 301.032834, 58.788180
7733.845, 301.109222, 58.856379
7503.956, 301.116800, 58.865881
11980.780, 301.130616, 58.878068
2463.487, 301.152276, 58.897200
3726.412, 300.965810, 58.731391
56461.034, 301.055891, 58.817449
2451.198, 301.073720, 58.829186
37829.596, 301.177791, 58.926347
8620.184, 300.940936, 58.713753
15236.987, 300.992870, 58.761968
13531.938, 301.272813, 59.013804
45637.675, 300.973914, 58.748830
21673.877, 301.085708, 58.849448
69073.796, 301.294142, 59.039319
37656.337, 300.958274, 58.737401
17966.364, 301.099945, 58.863987
2066.609, 301.070254, 58.836840
4466.710, 301.185317, 58.941140
68532.089, 301.004831, 58.787632
5366.348, 301.062889, 58.835689
10221.644, 301.207879, 58.969876
39886.325, 301.181608, 58.947876
6943.541, 300.964723, 58.752777
13724.280, 301.283045, 59.038538
29625.869, 301.112219, 58.888616
5769.796, 300.977035, 58.765183
21582.809, 301.011291, 58.797917
1986.198, 300.968480, 58.758868
43511.352, 300.979571, 58.774696
33173.822, 301.134702, 58.911356
3330.508, 300.900806, 58.698471
100150.385, 301.202329, 58.976407
48773.179, 300.928776, 58.731038
5343.818, 300.960579, 58.758414
9045.076, 301.136891, 58.917528
42654.654, 301.253221, 59.025490
58628.437, 301.167330, 58.949680
26854.743, 301.209583, 58.986896
3310.564, 301.004358, 58.800373
12026.304, 301.056970, 58.849437
24251.675, 301.136969, 58.921554
2899.602, 300.962949, 58.764138
16443.242, 300.982627, 58.786287
11069.134, 300.944477, 58.752375
69444.429, 301.170560, 58.959091
3712.527, 300.991966, 58.795975
22370.267, 301.064959, 58.864938
79977.197, 301.262433, 59.043302
31964.506, 301.011524, 58.820090
2467.482, 300.985391, 58.793375
52583.696, 301.152702, 58.947826
18444.365, 300.890394, 58.710307
134000.058, 300.901886, 58.724395
23257.381, 300.875049, 58.697910
4172.048, 300.996812, 58.805930
14081.673, 301.247882, 59.035862
22312.915, 301.108199, 58.910432
7423.619, 300.940291, 58.759262
20285.281, 301.088097, 58.895267
4883.623, 301.048235, 58.860029
4585.710, 301.120897, 58.925784
2053.216, 300.902658, 58.729679
102177.299, 300.868361, 58.712003
18873.402, 300.986194, 58.812217
11417.145, 301.012262, 58.835631
4136.052, 300.990427, 58.815698
35955.460, 301.094982, 58.912259
54906.181, 301.109888, 58.926880
90766.260, 300.881297, 58.724976
4548.210, 301.089812, 58.907924
33454.960, 301.044979, 58.872682
111179.640, 301.068566, 58.896607
13346.322, 300.939989, 58.780045
53328.182, 300.905714, 58.751906
1995.172, 300.970521, 58.807331
73258.476, 300.895590, 58.745848
56629.944, 300.943376, 58.787866
47938.341, 301.104696, 58.934284
6987.733, 300.974055, 58.814993
29523.856, 301.112400, 58.941059
64398.182, 301.167468, 58.994562
25199.672, 300.995496, 58.840389
2837.037, 301.012301, 58.852724
46207.819, 300.880572, 58.741124
9077.261, 301.046228, 58.886963
64953.729, 301.015894, 58.864927
40988.902, 301.076189, 58.916920
14800.961, 301.107179, 58.947626
6895.822, 300.862962, 58.726980
156393.962, 301.137750, 58.982085
71798.855, 300.885943, 58.754623
2874.342, 301.007927, 58.859639
9433.249, 301.121905, 58.963731
2477.178, 301.035561, 58.886595
23276.911, 301.240058, 59.073081
3318.051, 300.866467, 58.735954
2094.715, 301.054767, 58.905435
39124.203, 300.970146, 58.834767
351109.566, 300.858203, 58.741157
3629.584, 300.981368, 58.843308
122111.702, 301.026586, 58.890643
9508.743, 301.067611, 58.923217
17065.596, 301.188759, 59.032630
4919.565, 300.937417, 58.806022
8140.269, 300.991275, 58.855426
31121.771, 300.897061, 58.776211
27426.156, 300.955146, 58.827753
64333.745, 300.999826, 58.871663
19234.989, 300.880716, 58.760760
22742.641, 300.949770, 58.823189
5317.705, 300.960055, 58.831995
4552.996, 301.062273, 58.925700
1228301.743, 300.812782, 58.724080
6150.178, 301.013565, 58.882620
25338.278, 301.141028, 58.998644
5697.486, 300.849874, 58.735432
2049.531, 300.930747, 58.807835
18154.226, 301.066124, 58.932517
9556.802, 301.220984, 59.069718
11993.873, 301.097765, 58.960556
3643.974, 300.864378, 58.751263
56564.950, 300.956512, 58.838866
8244.900, 300.900577, 58.790026
6156.521, 300.914307, 58.804944
6957.981, 300.832201, 58.732694
2855.731, 300.974669, 58.859722
58559.693, 301.202577, 59.068633
2052.142, 300.857984, 58.755959
106843.044, 300.862610, 58.766392
28553.513, 301.065204, 58.947350
26159.587, 301.106277, 58.984275
142004.557, 301.022949, 58.914310
6509.588, 300.840431, 58.745346
9790.140, 300.832905, 58.740290
20380.302, 300.920979, 58.820700
2473.683, 300.943266, 58.840704
36030.946, 301.111447, 58.995174
31898.870, 301.006666, 58.902925
3278.343, 300.821165, 58.734910
42422.010, 301.046852, 58.943058
119412.969, 301.132081, 59.022394
6537.947, 300.837042, 58.751661
35933.574, 300.818055, 58.739679
2042.038, 300.857425, 58.771048
60049.602, 300.983324, 58.889192
79423.451, 300.914376, 58.830184
5735.512, 300.934232, 58.841718
59854.787, 301.119655, 59.013146
2056.564, 300.870980, 58.785510
4512.911, 300.961215, 58.867327
17956.070, 300.962576, 58.871349
20251.286, 300.988944, 58.895385
3382.193, 301.035329, 58.936115
12655.876, 300.833144, 58.755884
3707.364, 300.829938, 58.752642
7425.128, 300.927397, 58.844717
3215.077, 301.193706, 59.084395
618749.508, 300.820385, 58.765766
98747.761, 300.935663, 58.858991
35373.355, 301.143136, 59.043769
2474.304, 300.842955, 58.771468
2429.484, 300.847569, 58.776084
32402.531, 301.101210, 59.008399
6170.452, 300.818428, 58.752147
10290.064, 301.025901, 58.940095
20903.656, 300.975721, 58.896951
22095.925, 301.074095, 58.986221
23105.756, 301.175196, 59.076657
10921.327, 300.783181, 58.723746
3295.606, 300.871703, 58.803329
13688.922, 301.063360, 58.978510
18194.436, 300.887845, 58.822086
11135.726, 301.066537, 58.981933
88350.415, 300.836970, 58.779490
23531.138, 300.901782, 58.835805
29022.704, 300.800456, 58.747225
5224.475, 300.832134, 58.774539
9828.271, 301.040190, 58.962892
45338.073, 301.139505, 59.054810
6554.973, 300.787311, 58.737289
2879.883, 301.046279, 58.973110
39614.515, 300.923238, 58.867773
4899.535, 300.779151, 58.733982
31275.210, 300.969192, 58.908168
20520.823, 301.014631, 58.948574
25459.392, 300.884642, 58.832691
6495.329, 300.834676, 58.786014
5385.124, 301.152584, 59.072124
45507.654, 301.058940, 58.992771
18931.047, 301.041297, 58.975454
2486.949, 301.064763, 58.995063
3329.935, 300.985958, 58.925024
10724.603, 300.776308, 58.738172
11401.483, 300.838373, 58.796374
4091.077, 300.997595, 58.939182
47913.527, 301.159877, 59.087689
46873.530, 300.818339, 58.782485
9407.734, 300.900405, 58.854503
9382.311, 300.843461, 58.802801
2953.436, 300.888718, 58.843367
9463.933, 300.801647, 58.766253
29968.382, 300.759571, 58.733740
13201.930, 300.845671, 58.808674
18844.230, 300.875166, 58.837128
34268.094, 300.980792, 58.933878
37288.872, 301.145062, 59.081550
82324.535, 301.023334, 58.975981
23065.687, 300.803268, 58.774819
3306.717, 301.008508, 58.957600
45051.983, 301.043645, 58.992627
15335.816, 301.074593, 59.018603
37760.762, 301.130902, 59.070505
20849.054, 300.807860, 58.779852
26385.508, 301.090479, 59.035096
9035.122, 300.776394, 58.752124
47345.449, 300.823930, 58.798305
11570.651, 300.939893, 58.900777
72067.882, 300.760690, 58.741074
5771.427, 300.837039, 58.807426
22082.945, 301.002413, 58.959259
9056.383, 300.945438, 58.909196
35493.858, 301.077025, 59.029169
25192.940, 301.111020, 59.058920
4498.066, 300.929539, 58.894553
2443.813, 300.785773, 58.764772
3731.427, 300.846130, 58.819732
2496.891, 301.048029, 59.001607
2477.595, 301.065608, 59.017202
60350.328, 300.847632, 58.827138
30918.320, 300.975311, 58.940166
4189.347, 300.837864, 58.815327
15489.262, 300.863195, 58.838692
5751.735, 300.789001, 58.772354
2015.076, 300.923984, 58.894240
3292.867, 300.801701, 58.783903
13627.267, 300.960942, 58.930142
6585.763, 300.929511, 58.902428
7786.966, 300.966369, 58.936279
11474.543, 300.862451, 58.843794
56549.578, 300.983301, 58.957919
25097.306, 300.807501, 58.794409
10680.045, 300.869431, 58.850506
4165.773, 300.880445, 58.859933
86737.225, 301.020220, 58.991755
3273.455, 300.783159, 58.772883
16960.898, 300.927601, 58.906920
13589.927, 300.947046, 58.923532
27840.759, 301.002438, 58.975380
18702.599, 300.891368, 58.876404
75589.873, 300.961144, 58.941437
12977.137, 300.843436, 58.836886
3338.036, 300.878720, 58.866857
75057.101, 300.773686, 58.776705
84604.359, 300.856350, 58.853252
11003.538, 300.783002, 58.782612
33660.897, 301.093356, 59.064864
26003.714, 300.742553, 58.749433
10105.220, 300.820913, 58.819254
6190.592, 300.877993, 58.871215
4938.125, 301.076295, 59.049400
2461.916, 300.843529, 58.840602
2563.648, 300.927063, 58.915849
2945.200, 300.930191, 58.919097
24620.437, 300.748540, 58.758424
211538.117, 301.016745, 59.006698
44181.222, 301.112055, 59.087102
18758.622, 300.887957, 58.886271
57212.798, 300.782226, 58.797903
10936.787, 300.823878, 58.831467
2955.313, 300.854605, 58.858917
7437.202, 300.743305, 58.761989
23048.460, 300.942881, 58.945035
20406.567, 300.977963, 58.975395
46048.674, 301.021924, 59.016943
4483.867, 300.762151, 58.780151
6473.254, 300.843092, 58.853345
2070.105, 300.765780, 58.783704
53344.752, 300.803900, 58.822338
19475.961, 301.031265, 59.025410
2109.125, 300.832327, 58.845007
45858.940, 300.734700, 58.760575
45850.434, 300.765991, 58.789126
10279.112, 300.792173, 58.812093
6524.069, 300.817814, 58.834349
27962.109, 300.961447, 58.965987
30459.232, 301.064020, 59.057588
17202.975, 300.719589, 58.746612
6887.341, 300.744307, 58.768229
7838.567, 301.094927, 59.084362
73788.628, 300.744548, 58.775879
10750.595, 300.755093, 58.779481
9042.811, 300.771628, 58.794288
39257.046, 301.092586, 59.089231
8552.161, 300.877077, 58.894492
286648.561, 300.899508, 58.922275
9487.498, 300.777474, 58.805433
32727.066, 300.809611, 58.837245
6094.457, 300.832419, 58.855501
5361.481, 300.723030, 58.757703
30216.069, 300.751648, 58.787423
183700.968, 300.709473, 58.752360
61334.661, 300.774563, 58.811376
4157.127, 301.025680, 59.033303
8270.733, 301.077749, 59.081133
12780.253, 300.731191, 58.769234
35704.719, 300.824568, 58.857065
99306.273, 300.956163, 58.983354
66877.229, 300.718155, 58.765482
8624.685, 300.832786, 58.865017
4087.470, 300.728361, 58.772570
65561.003, 300.832251, 58.873518
5282.000, 300.867235, 58.899404
14545.562, 300.734822, 58.781450
9460.992, 300.861983, 58.896256
6517.391, 300.899578, 58.930494
14756.403, 300.825258, 58.863916
3325.895, 301.011467, 59.030479
52962.431, 300.742128, 58.792537
2933.787, 300.752960, 58.798977
19311.025, 301.031612, 59.052957
46769.160, 300.704845, 58.760256
39693.849, 301.042272, 59.065676
15642.360, 300.797292, 58.844064
13175.210, 300.843282, 58.885733
41595.282, 300.707778, 58.766679
11946.523, 300.836253, 58.881167
9802.692, 300.818801, 58.867532
4052.722, 300.850310, 58.895511
5315.588, 300.692611, 58.755092
22756.300, 300.861303, 58.910692
65797.202, 301.017655, 59.053388
15627.606, 301.082481, 59.108164
6860.397, 300.788033, 58.843933
30092.276, 300.843949, 58.902725
42346.448, 301.053147, 59.086101
10624.657, 300.731370, 58.795611
36289.903, 300.887757, 58.938803
6704.275, 301.042986, 59.076551
7743.857, 300.712723, 58.778332
3690.133, 300.699857, 58.767533
3723.591, 300.958324, 59.001182
2038.913, 300.780946, 58.842847
31442.880, 300.717732, 58.789684
3290.338, 300.735097, 58.801713
16282.863, 300.682726, 58.756917
2451.595, 301.031023, 59.069650
11875.291, 300.761712, 58.829715
5356.070, 300.812437, 58.873918
12325.107, 300.691760, 58.765885
73446.344, 300.829533, 58.895598
23634.949, 300.741696, 58.814176
8608.962, 300.736741, 58.808731
15680.621, 300.954901, 59.009261
3284.785, 300.777072, 58.847142
54434.889, 300.926011, 58.985094
26637.810, 301.048033, 59.093791
4193.149, 300.707704, 58.785011
38240.660, 300.948188, 59.005238
9774.489, 300.854734, 58.920838
5759.098, 300.865660, 58.929898
5391.868, 300.878081, 58.940853
81551.394, 300.845593, 58.917648
8188.716, 300.696677, 58.779486
15863.083, 300.775500, 58.852262
7770.935, 300.745350, 58.827469
3236.121, 300.676492, 58.765630
2042.575, 300.762384, 58.842287
14471.343, 300.984332, 59.044220
4487.120, 300.703548, 58.790653
7278.528, 300.881898, 58.953373
8999.470, 300.884556, 58.956263
8249.722, 300.829669, 58.906762
11469.959, 300.969226, 59.032914
48526.759, 300.914272, 58.987367
32428.615, 300.769170, 58.858981
7755.570, 300.709296, 58.800303
6558.381, 300.796327, 58.879529
11516.426, 301.019382, 59.080843
9005.977, 300.688665, 58.783572
15484.789, 300.783034, 58.871542
36443.028, 300.958724, 59.030407
5320.208, 300.798318, 58.882678
6086.442, 300.803585, 58.888473
2857.948, 300.808799, 58.892536
13578.192, 300.664644, 58.763199
6159.443, 300.922077, 58.996157
3800.577, 301.049875, 59.110087
16755.916, 300.776398, 58.866455
80527.656, 300.719974, 58.821639
41448.907, 300.982796, 59.055667
12439.296, 301.022759, 59.090503
13927.308, 300.688377, 58.789354
3650.101, 300.807719, 58.897011
18305.875, 301.035688, 59.104292
11487.740, 300.675801, 58.778914
76043.844, 300.866233, 58.959948
19845.396, 301.025778, 59.097392
3727.390, 300.662297, 58.767663
38975.554, 300.793547, 58.890434
322036.759, 300.955134, 59.044863
83651.431, 300.994053, 59.075329
2473.737, 300.681039, 58.787456
3337.276, 300.688709, 58.794877
16023.331, 300.939208, 59.024198
3993.296, 300.657859, 58.768953
35997.462, 300.727252, 58.836768
8658.727, 300.741390, 58.847264
42085.305, 300.768798, 58.877625
60182.700, 300.871656, 58.969961
3258.524, 301.015388, 59.095458
42047.307, 300.707607, 58.821710
6993.525, 300.734241, 58.842595
4088.876, 300.658587, 58.774100
5827.731, 300.806182, 58.909546
43992.643, 300.818564, 58.923523
17865.709, 300.939928, 59.031213
13039.576, 300.966842, 59.056134
2045.731, 300.800838, 58.905395
5336.463, 300.648396, 58.767637
49577.300, 300.884212, 58.986763
36983.150, 300.891501, 58.992646
46031.484, 300.896543, 58.997128
9069.684, 301.031505, 59.115394
