# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
92990.711, 347.258265, 16.864363
14637.428, 347.277351, 16.889841
13536.006, 347.293581, 16.910265
18399.069, 347.312081, 16.934349
8773.290, 347.483008, 17.151595
231792.226, 347.261155, 16.875467
5834.754, 347.303492, 16.923376
88252.647, 347.351734, 16.991423
2867.605, 347.283374, 16.898415
2921.563, 347.296614, 16.914682
4889.318, 347.307513, 16.930038
7779.899, 347.270364, 16.883794
28459.509, 347.277214, 16.896075
36258.252, 347.295747, 16.921575
6295.007, 347.413635, 17.069527
5336.666, 347.446469, 17.111076
40246.327, 347.306866, 16.936166
4385.559, 347.323783, 16.955099
6343.523, 347.293009, 16.916929
6830.108, 347.269112, 16.888118
3879.672, 347.289183, 16.913680
29033.901, 347.301575, 16.930527
6283.014, 347.312304, 16.943962
28565.594, 347.365502, 17.013032
35920.625, 347.297160, 16.927597
14461.712, 347.264742, 16.885957
81710.195, 347.283681, 16.911988
96725.446, 347.508433, 17.201025
9220.409, 347.316752, 16.953759
24625.545, 347.301451, 16.936003
2963.035, 347.311266, 16.948297
16031.956, 347.431050, 17.103593
20319.909, 347.303362, 16.941358
25180.125, 347.306902, 16.946563
33365.381, 347.249748, 16.874160
3924.123, 347.254701, 16.879367
3400.767, 347.264802, 16.891636
3944.011, 347.267370, 16.895269
27082.135, 347.269104, 16.900052
19355.678, 347.365209, 17.023209
25138.353, 347.299343, 16.942064
22764.205, 347.291776, 16.932751
17538.002, 347.283888, 16.925110
37774.191, 347.251596, 16.884494
7775.297, 347.326552, 16.977733
26653.568, 347.311808, 16.960116
14503.105, 347.342665, 16.999624
43907.226, 347.244153, 16.876010
24215.286, 347.257135, 16.890570
14988.863, 347.306399, 16.954425
12080.591, 347.247922, 16.880881
8764.978, 347.266768, 16.905673
41097.646, 347.354075, 17.018198
74325.686, 347.257196, 16.898992
54874.143, 347.269282, 16.916064
29371.997, 347.301399, 16.951652
3443.978, 347.285554, 16.930570
15489.572, 347.316153, 16.971639
9105.842, 347.269729, 16.911963
4890.826, 347.331412, 16.990774
7798.489, 347.325043, 16.984415
5437.842, 347.463011, 17.159803
2384.852, 347.264191, 16.906298
39104.357, 347.355807, 17.026627
7807.242, 347.285234, 16.934624
13583.181, 347.307984, 16.964235
35549.386, 347.476886, 17.181107
80683.235, 347.240921, 16.883298
2414.036, 347.240244, 16.877664
27501.467, 347.264197, 16.910574
4876.723, 347.326110, 16.987810
2442.034, 347.395209, 17.075613
127659.962, 347.392569, 17.079285
5307.633, 347.289156, 16.941781
4372.400, 347.311760, 16.970695
2472.333, 347.320490, 16.981375
6831.556, 347.342480, 17.010510
6755.932, 347.270873, 16.919244
18391.099, 347.487586, 17.199699
2447.853, 347.260049, 16.907386
6293.811, 347.285371, 16.940537
4391.597, 347.329474, 16.997940
52774.424, 347.421524, 17.118637
8179.370, 347.450611, 17.153934
2901.477, 347.275554, 16.930452
12617.594, 347.315421, 16.982655
4798.600, 347.242279, 16.889723
18375.642, 347.245184, 16.893510
2473.609, 347.303573, 16.968607
4570.665, 347.455546, 17.162861
7871.099, 347.323735, 16.995606
4375.588, 347.247285, 16.898860
18344.935, 347.254177, 16.908867
24603.131, 347.260879, 16.918981
6249.832, 347.281501, 16.942651
6806.008, 347.252610, 16.905814
13599.780, 347.275226, 16.936351
13547.670, 347.249631, 16.904457
39048.776, 347.256157, 16.914870
12706.244, 347.236682, 16.889571
9295.616, 347.311127, 16.984842
7256.141, 347.324306, 17.001704
5857.088, 347.289119, 16.956960
2416.882, 347.331567, 17.010860
8656.931, 347.272789, 16.937293
2455.228, 347.359785, 17.047676
8264.176, 347.238831, 16.895201
4341.882, 347.251328, 16.910918
3400.507, 347.276009, 16.942184
17351.815, 347.311329, 16.988743
3362.898, 347.291450, 16.964564
5373.623, 347.315481, 16.996249
213465.427, 347.261081, 16.932344
6804.312, 347.274671, 16.945694
16007.577, 347.301273, 16.980597
30490.275, 347.227958, 16.888784
3447.897, 347.271132, 16.941495
3916.637, 347.322990, 17.008300
4788.933, 347.290544, 16.967698
4382.251, 347.232126, 16.894713
14076.218, 347.266262, 16.940051
4852.597, 347.246555, 16.915119
9265.748, 347.299535, 16.984791
8810.012, 347.268667, 16.945413
10721.207, 347.403215, 17.117361
230621.174, 347.233778, 16.911512
3456.556, 347.251674, 16.923310
3937.374, 347.295931, 16.981036
3867.165, 347.302830, 16.990465
33286.999, 347.244466, 16.918679
19868.557, 347.319500, 17.013762
2384.456, 347.225739, 16.892037
17429.359, 347.228555, 16.897319
120080.825, 347.259889, 16.947853
8333.568, 347.284138, 16.969546
2415.623, 347.288794, 16.974846
8733.757, 347.294276, 16.984380
4911.113, 347.300336, 16.992494
3457.040, 347.336360, 17.038488
72531.542, 347.220955, 16.896438
23215.483, 347.252152, 16.932597
4868.500, 347.275968, 16.962451
9229.518, 347.258582, 16.941042
4810.275, 347.226015, 16.899628
9668.486, 347.269991, 16.956521
2875.660, 347.227347, 16.901681
2920.891, 347.336199, 17.041214
52828.459, 347.243140, 16.927956
32405.285, 347.226368, 16.908522
13599.008, 347.235395, 16.917558
4852.372, 347.265268, 16.954648
8682.576, 347.301433, 17.001981
3839.879, 347.275497, 16.968580
9256.699, 347.270620, 16.963835
7709.157, 347.286931, 16.984714
13497.442, 347.245714, 16.933705
11207.945, 347.279023, 16.976063
23151.596, 347.300834, 17.005754
10152.073, 347.214991, 16.895430
31440.203, 347.216284, 16.899265
46453.126, 347.244819, 16.937946
14139.851, 347.358428, 17.080506
80190.612, 347.231026, 16.926991
86527.873, 347.332160, 17.052513
12634.943, 347.260831, 16.959359
21250.058, 347.264508, 16.965109
8689.487, 347.292092, 17.000263
3860.891, 347.313653, 17.027209
12717.189, 347.234591, 16.927551
16011.687, 347.251145, 16.950496
9709.449, 347.285697, 16.994018
3887.241, 347.216155, 16.904719
15933.772, 347.216823, 16.907553
8187.716, 347.220036, 16.912141
5874.386, 347.289950, 17.001922
18793.932, 347.209672, 16.900730
16032.350, 347.234855, 16.933543
3853.177, 347.216748, 16.910529
5343.110, 347.245695, 16.947853
3907.219, 347.257115, 16.961875
12063.976, 347.265645, 16.973287
8776.778, 347.269238, 16.980482
9657.513, 347.271080, 16.984920
4419.964, 347.206460, 16.900516
106601.188, 347.209439, 16.911224
8713.439, 347.274808, 16.988578
10101.143, 347.364136, 17.103518
5322.257, 347.235348, 16.938045
2928.234, 347.242501, 16.947223
111074.623, 347.243569, 16.954695
10200.890, 347.279019, 16.994589
6381.435, 347.285094, 17.002314
6352.541, 347.249335, 16.956957
2942.091, 347.251497, 16.959340
4423.807, 347.358859, 17.097065
7779.153, 347.238862, 16.944170
6744.082, 347.332541, 17.064643
2457.064, 347.309205, 17.034676
3879.388, 347.312751, 17.039266
3901.615, 347.342573, 17.077618
22735.432, 347.344860, 17.082386
3914.843, 347.221062, 16.924586
7790.832, 347.266947, 16.983267
14574.155, 347.223278, 16.928131
8723.103, 347.228421, 16.934576
4879.214, 347.234715, 16.943155
14566.109, 347.272315, 16.992065
6905.276, 347.291741, 17.016666
13481.831, 347.249355, 16.964720
18815.512, 347.229937, 16.940814
12173.658, 347.237637, 16.951149
4861.683, 347.266254, 16.987427
9141.527, 347.245482, 16.961383
2430.163, 347.205540, 16.909825
5316.728, 347.217638, 16.926717
7269.734, 347.269220, 16.993047
20352.528, 347.224673, 16.938591
5383.793, 347.209711, 16.917920
8211.225, 347.263965, 16.989098
10712.512, 347.317478, 17.059648
27024.426, 347.240209, 16.963737
18968.298, 347.269076, 16.999977
10708.374, 347.235361, 16.956696
3871.646, 347.203071, 16.915069
72071.188, 347.224822, 16.949137
32989.742, 347.205261, 16.921550
8793.064, 347.230581, 16.952390
12094.233, 347.265098, 16.998538
3926.475, 347.248397, 16.976451
17426.467, 347.275545, 17.012216
66680.011, 347.195851, 16.914149
4860.343, 347.251870, 16.982349
3416.232, 347.235717, 16.962184
4394.020, 347.261276, 16.995430
17334.132, 347.213465, 16.935554
10669.202, 347.253625, 16.986669
2455.975, 347.309386, 17.057588
3408.102, 347.329225, 17.083397
4355.297, 347.209058, 16.933320
26123.807, 347.227275, 16.958228
8680.958, 347.262244, 17.003740
9323.133, 347.217918, 16.947920
2919.817, 347.251464, 16.991550
21700.352, 347.200411, 16.929339
7299.837, 347.207235, 16.936928
7301.467, 347.220362, 16.954591
21280.734, 347.227862, 16.964898
3416.308, 347.269013, 17.016717
7229.053, 347.213865, 16.947408
23735.180, 347.193046, 16.922117
50739.047, 347.212801, 16.952747
11571.860, 347.210794, 16.948604
30947.016, 347.202250, 16.940772
10641.071, 347.198931, 16.934623
12074.590, 347.194375, 16.931185
2927.842, 347.184714, 16.918427
14518.081, 347.186208, 16.922616
62321.682, 347.196382, 16.940092
11134.106, 347.214575, 16.958238
5338.946, 347.250070, 17.002491
3422.972, 347.288138, 17.054639
4890.855, 347.215921, 16.964421
4798.239, 347.274119, 17.040326
9657.573, 347.218925, 16.971208
6809.048, 347.298277, 17.071779
9221.506, 347.222367, 16.975604
