# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
62689.306, 347.507529, 17.201485
4749.925, 347.430004, 17.101625
23041.781, 347.495587, 17.188595
9023.369, 347.285655, 16.919280
5545.155, 347.247267, 16.874311
2151.219, 347.260672, 16.891351
2742.471, 347.312990, 16.961856
35281.508, 347.273272, 16.915525
27883.585, 347.352878, 17.018921
2564.838, 347.292796, 16.940415
7296.749, 347.249947, 16.886644
22766.260, 347.357035, 17.026850
35362.800, 347.476901, 17.180876
4338.968, 347.385217, 17.065406
4710.906, 347.286512, 16.940389
100712.752, 347.392229, 17.079725
2113.679, 347.312683, 16.974198
5189.971, 347.298570, 16.957721
2982.583, 347.322387, 16.991417
2561.346, 347.318026, 16.986843
21514.974, 347.292114, 16.956515
3843.070, 347.301074, 16.966964
34866.120, 347.456346, 17.169474
2949.444, 347.237740, 16.887890
3846.594, 347.246602, 16.901985
7662.810, 347.302785, 16.979030
2163.985, 347.369912, 17.064096
24540.541, 347.478172, 17.204493
115467.400, 347.261490, 16.932490
43271.992, 347.411928, 17.123594
2592.844, 347.274833, 16.952863
6860.596, 347.227504, 16.893594
2612.584, 347.232812, 16.901114
3840.965, 347.267291, 16.945868
3904.185, 347.278830, 16.960878
6857.252, 347.246541, 16.921676
38242.219, 347.372069, 17.084486
9514.209, 347.224424, 16.895287
90703.596, 347.233133, 16.912023
5191.482, 347.383322, 17.099105
8583.094, 347.225860, 16.899994
2169.452, 347.422271, 17.151068
3852.230, 347.418095, 17.147784
3426.658, 347.281271, 16.973383
3505.758, 347.254669, 16.940522
3812.323, 347.221883, 16.899122
33185.862, 347.258283, 16.948875
20198.333, 347.280422, 16.977182
11173.107, 347.301852, 17.004860
2162.932, 347.370657, 17.092847
5550.244, 347.219474, 16.902484
2162.531, 347.290661, 16.993386
4321.870, 347.267245, 16.964235
74202.321, 347.331985, 17.052996
2606.079, 347.282216, 16.989643
2581.023, 347.292274, 17.002518
13720.551, 347.213033, 16.907594
5619.588, 347.233803, 16.932974
2228.500, 347.209975, 16.902966
3399.634, 347.229808, 16.928305
5170.584, 347.218259, 16.915591
6809.601, 347.212172, 16.910355
97736.240, 347.243086, 16.954282
3004.604, 347.226154, 16.934591
3524.624, 347.233186, 16.943582
2581.467, 347.295620, 17.023016
2605.317, 347.290440, 17.017996
3482.051, 347.204016, 16.912371
3815.441, 347.387880, 17.149829
14004.368, 347.275978, 17.010200
17927.349, 347.335796, 17.087304
2152.217, 347.202708, 16.916448
6004.678, 347.210960, 16.927789
2525.043, 347.246319, 16.973664
5559.548, 347.259457, 16.992089
3471.850, 347.278939, 17.018352
2570.278, 347.196127, 16.912252
12057.375, 347.206152, 16.928908
14150.141, 347.219466, 16.947790
3455.327, 347.270927, 17.011902
9874.590, 347.211342, 16.938745
3440.679, 347.250167, 16.990260
23125.649, 347.190687, 16.917279
2586.760, 347.218929, 16.951890
24347.556, 347.191118, 16.922281
3416.622, 347.245404, 16.990944
10404.813, 347.314257, 17.081012
2592.256, 347.399783, 17.188618
4233.969, 347.243541, 16.993369
2199.326, 347.313439, 17.084677
6840.541, 347.257667, 17.014733
7305.656, 347.231088, 16.981360
16249.421, 347.189004, 16.930880
4296.117, 347.309431, 17.085517
5169.207, 347.268499, 17.034628
8499.408, 347.201058, 16.950269
2937.418, 347.240196, 16.999259
2586.079, 347.223979, 16.979459
2562.665, 347.348227, 17.138996
4056.247, 347.286394, 17.062763
7308.785, 347.382977, 17.187846
12519.810, 347.188104, 16.941240
74635.291, 347.339690, 17.137536
6077.180, 347.241570, 17.009560
9866.085, 347.211101, 16.972823
7355.062, 347.191860, 16.947442
4307.052, 347.173539, 16.924516
3445.429, 347.346382, 17.146881
4722.159, 347.214771, 16.980348
3433.095, 347.354231, 17.158467
6032.911, 347.203654, 16.967282
17580.090, 347.185837, 16.947127
90519.295, 347.180107, 16.942591
5657.901, 347.239094, 17.016209
72813.834, 347.328865, 17.135468
3470.287, 347.171408, 16.929926
6898.575, 347.203815, 16.974423
177627.243, 347.340479, 17.156004
4737.551, 347.237622, 17.019425
2161.549, 347.194221, 16.965612
4304.842, 347.171601, 16.939202
4729.885, 347.190414, 16.963272
3051.877, 347.255236, 17.049303
4345.503, 347.199938, 16.982823
3843.229, 347.217918, 17.006792
2106.216, 347.189945, 16.971679
7740.190, 347.220998, 17.013316
2572.681, 347.214381, 17.004111
9414.363, 347.372481, 17.207214
2578.462, 347.316159, 17.135019
2142.432, 347.362802, 17.195903
3491.586, 347.297919, 17.113264
3434.583, 347.162507, 16.940227
6453.900, 347.221717, 17.016713
5975.214, 347.169417, 16.950161
4292.273, 347.269568, 17.078209
6558.288, 347.292445, 17.107982
5517.526, 347.159533, 16.937883
2618.915, 347.178462, 16.962935
6396.638, 347.173497, 16.958429
77643.178, 347.295640, 17.118992
6043.824, 347.207164, 17.003201
2132.915, 347.166304, 16.951382
6936.963, 347.284078, 17.102725
53491.268, 347.374070, 17.221583
26840.757, 347.214413, 17.019081
7741.995, 347.163042, 16.951435
40655.848, 347.359334, 17.205425
12000.441, 347.180823, 16.976646
8521.391, 347.171218, 16.965248
8170.882, 347.156563, 16.946984
49120.924, 347.352191, 17.198850
29556.346, 347.249964, 17.068586
2148.141, 347.184774, 16.984794
14974.268, 347.195550, 17.001332
2751.980, 347.376473, 17.231764
3860.041, 347.236261, 17.055083
27059.209, 347.191644, 17.002315
4735.285, 347.346393, 17.200792
2585.451, 347.386272, 17.251110
6411.853, 347.194059, 17.007034
5634.774, 347.210636, 17.029087
3855.166, 347.235593, 17.060862
39587.232, 347.365353, 17.231803
2164.055, 347.190343, 17.008484
2962.447, 347.294148, 17.143314
3058.967, 347.153666, 16.963822
29018.377, 347.177473, 16.996502
19088.035, 347.162388, 16.977970
52704.282, 347.238181, 17.078617
3018.585, 347.156399, 16.971709
11580.259, 347.300512, 17.158441
6438.620, 347.158234, 16.977152
6843.793, 347.149281, 16.966728
2133.820, 347.166851, 16.987963
14644.099, 347.211891, 17.049836
9881.117, 347.144621, 16.963522
10256.508, 347.163595, 16.987630
2184.618, 347.170191, 16.997383
486557.058, 347.271471, 17.138835
16680.495, 347.214357, 17.056124
14585.462, 347.197390, 17.036298
10301.440, 347.200203, 17.038650
5604.358, 347.144676, 16.967969
34254.388, 347.130675, 16.953625
15029.154, 347.209895, 17.055901
3863.511, 347.185816, 17.022347
9067.900, 347.259321, 17.119408
6923.456, 347.173067, 17.010211
2550.239, 347.165650, 17.002126
8239.830, 347.137337, 16.967470
3420.576, 347.251040, 17.113035
4377.652, 347.145987, 16.978876
18860.430, 347.181442, 17.026840
5983.131, 347.218533, 17.073483
5148.772, 347.162759, 17.003247
8150.031, 347.187022, 17.034872
8601.296, 347.209517, 17.064019
5204.321, 347.150649, 16.988929
3513.228, 347.144922, 16.982424
13360.525, 347.131833, 16.969720
6480.946, 347.194540, 17.050390
4726.037, 347.262092, 17.136254
4701.709, 347.308462, 17.196446
2991.951, 347.220449, 17.083989
53737.081, 347.233300, 17.105062
4734.460, 347.268526, 17.147155
183686.473, 347.196122, 17.063457
4758.058, 347.243126, 17.115687
10725.084, 347.264791, 17.144066
2633.917, 347.212992, 17.078447
2587.592, 347.170921, 17.026505
6059.280, 347.362815, 17.272115
6904.772, 347.310761, 17.205852
5599.521, 347.120086, 16.962702
