# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
6874.966, 347.320539, 16.923774
89651.208, 347.436975, 17.075975
5192.956, 347.267753, 16.856856
3687.593, 347.286909, 16.882115
5721.253, 347.282501, 16.879866
7181.619, 347.300117, 16.904984
186144.898, 347.259482, 16.863648
12442.443, 347.268271, 16.873546
4219.282, 347.303924, 16.918488
8323.204, 347.313458, 16.936733
11886.308, 347.272796, 16.885689
2609.621, 347.266907, 16.878515
4201.312, 347.259673, 16.869963
3089.494, 347.293522, 16.915298
3134.931, 347.302725, 16.928512
22291.487, 347.350894, 16.992085
14594.479, 347.261295, 16.880523
67289.273, 347.508089, 17.201209
3637.388, 347.277826, 16.905697
10411.656, 347.255647, 16.878896
8388.970, 347.342581, 16.992889
49973.560, 347.431107, 17.110931
4136.776, 347.255420, 16.887456
3671.559, 347.246149, 16.876116
2624.087, 347.363962, 17.028855
3111.055, 347.248943, 16.888833
130799.191, 347.392373, 17.079357
28477.936, 347.244456, 16.892730
4136.713, 347.285590, 16.951449
188258.800, 347.261297, 16.932548
4183.919, 347.271426, 16.943064
36769.218, 347.230593, 16.896302
6808.220, 347.321723, 17.008718
8901.719, 347.227831, 16.889471
3167.204, 347.254574, 16.927150
7341.192, 347.244359, 16.915959
10814.617, 347.270174, 16.950323
96768.383, 347.232914, 16.912193
10375.685, 347.232159, 16.907447
10393.920, 347.238449, 16.919786
67906.283, 347.257726, 16.947807
25237.213, 347.280471, 16.975779
18043.676, 347.301517, 17.004976
5756.879, 347.215131, 16.893919
16414.610, 347.354845, 17.074596
6740.492, 347.217700, 16.898448
6235.652, 347.220551, 16.901954
61212.242, 347.332055, 17.051685
2599.492, 347.315666, 17.027263
4180.971, 347.228953, 16.917699
39280.071, 347.237473, 16.931650
8854.924, 347.271852, 16.973274
9803.677, 347.215368, 16.902579
32186.593, 347.342987, 17.067946
21086.158, 347.284238, 16.992901
9381.782, 347.250462, 16.952086
16613.292, 347.219341, 16.912209
7727.956, 347.233673, 16.930043
16596.791, 347.225435, 16.924118
4737.930, 347.211850, 16.907677
3604.771, 347.207710, 16.902533
5231.955, 347.250538, 16.958133
19191.438, 347.219041, 16.919657
92994.631, 347.243863, 16.955314
10931.764, 347.278818, 16.996229
5326.124, 347.293211, 17.014936
18794.362, 347.228112, 16.934693
3170.907, 347.235021, 16.942378
6226.793, 347.306502, 17.038492
22885.859, 347.214038, 16.926166
3102.943, 347.200828, 16.907223
4125.855, 347.276499, 17.009246
5738.938, 347.225808, 16.946703
5209.147, 347.233270, 16.956636
4145.401, 347.236159, 16.963601
20592.167, 347.206255, 16.930099
6267.463, 347.202130, 16.924430
6756.174, 347.213232, 16.938386
13457.787, 347.200051, 16.926970
3118.326, 347.242386, 16.980395
2585.307, 347.231225, 16.967924
10390.894, 347.209438, 16.943117
26463.712, 347.197398, 16.930044
16556.411, 347.201389, 16.933988
5244.788, 347.213408, 16.949812
7256.504, 347.225522, 16.965679
3701.829, 347.192042, 16.922768
3111.621, 347.193727, 16.926515
3125.686, 347.375081, 17.160653
19107.920, 347.213656, 16.955740
7190.100, 347.202829, 16.941818
5251.573, 347.187000, 16.924422
18683.448, 347.203296, 16.947873
10931.265, 347.180726, 16.918557
20638.281, 347.236491, 16.991495
3112.741, 347.191447, 16.933341
6731.385, 347.183743, 16.925033
6814.007, 347.217611, 16.968236
5684.124, 347.211318, 16.960308
4730.823, 347.289279, 17.060925
5225.515, 347.192487, 16.938163
6236.819, 347.201323, 16.953583
13043.203, 347.208089, 16.964398
70483.729, 347.340142, 17.137010
20778.751, 347.204694, 16.961677
10942.358, 347.185242, 16.935842
4705.339, 347.194885, 16.948142
5691.567, 347.178791, 16.929600
17520.405, 347.196752, 16.957078
36142.657, 347.250152, 17.026167
156191.973, 347.179941, 16.942103
3149.068, 347.202425, 16.965587
3092.852, 347.225207, 16.995912
5140.875, 347.199871, 16.965634
79438.484, 347.328639, 17.135628
9350.000, 347.169573, 16.927833
11327.036, 347.257674, 17.043963
221075.456, 347.340511, 17.155664
34933.218, 347.392643, 17.218060
6757.779, 347.205285, 16.977451
11895.794, 347.186674, 16.959672
26422.596, 347.199519, 16.978568
3153.932, 347.204304, 16.981928
13440.128, 347.179604, 16.952272
13053.400, 347.180922, 16.956205
4207.195, 347.169914, 16.941778
3114.426, 347.223019, 17.012266
26667.075, 347.235483, 17.031229
4669.046, 347.260193, 17.060944
40013.566, 347.196586, 16.983156
5795.630, 347.218178, 17.009265
6706.969, 347.178954, 16.959457
6283.005, 347.262371, 17.066773
17521.031, 347.228531, 17.025362
4166.980, 347.198196, 16.987310
5812.673, 347.168176, 16.949827
25252.119, 347.257154, 17.065667
7353.245, 347.157924, 16.938538
8821.401, 347.202131, 16.994536
3133.516, 347.223735, 17.021883
93406.798, 347.295419, 17.118813
5694.875, 347.376475, 17.218567
17572.127, 347.215444, 17.013733
13481.603, 347.183170, 16.972825
69467.479, 347.196413, 16.993951
3122.151, 347.163404, 16.949400
33670.365, 347.373715, 17.221774
7160.872, 347.172817, 16.962389
2676.882, 347.152042, 16.938652
3722.398, 347.154569, 16.942307
3655.938, 347.211794, 17.016132
4738.679, 347.190572, 16.991438
5706.773, 347.176589, 16.975052
5747.398, 347.198617, 17.002548
6725.880, 347.351080, 17.198361
4626.681, 347.166401, 16.961661
9336.846, 347.194381, 16.999789
10943.171, 347.149946, 16.943361
6762.900, 347.162555, 16.959049
3623.365, 347.153375, 16.948366
11429.277, 347.235602, 17.056222
4133.226, 347.167572, 16.968479
12427.117, 347.152217, 16.951815
6763.820, 347.223208, 17.042723
5693.787, 347.183925, 16.994740
8364.056, 347.229172, 17.053602
18714.761, 347.177268, 16.990389
13466.463, 347.202895, 17.021739
25734.285, 347.143781, 16.948809
13014.903, 347.147076, 16.953266
22762.229, 347.195689, 17.016505
22261.790, 347.152198, 16.961363
5720.671, 347.223998, 17.051459
5695.964, 347.237747, 17.070647
7780.641, 347.164324, 16.977106
6799.648, 347.173887, 16.989068
13427.484, 347.179905, 16.999116
9889.425, 347.165291, 16.980751
10359.082, 347.176861, 16.996251
3650.326, 347.194229, 17.020535
22232.030, 347.146152, 16.962189
24247.844, 347.178395, 17.004289
3671.399, 347.246624, 17.090464
3154.603, 347.210870, 17.048088
10935.556, 347.155724, 16.979477
8296.426, 347.212924, 17.053985
554017.651, 347.271637, 17.138687
30901.261, 347.131225, 16.952791
8300.684, 347.142282, 16.964173
6270.554, 347.163312, 16.991637
17016.874, 347.199920, 17.039878
2654.432, 347.183982, 17.020745
4743.263, 347.237330, 17.089632
5807.410, 347.196083, 17.036867
6267.340, 347.162037, 16.996913
7815.319, 347.137448, 16.966168
6761.035, 347.209468, 17.058685
4091.676, 347.140070, 16.969767
25284.698, 347.131048, 16.961283
10379.790, 347.230069, 17.086365
3824.720, 347.211817, 17.063598
3122.345, 347.137909, 16.971440
10315.639, 347.127211, 16.958920
7280.871, 347.156384, 16.996206
3648.815, 347.216004, 17.072933
8303.052, 347.138477, 16.975310
3086.303, 347.171542, 17.018209
14034.691, 347.132229, 16.971271
3134.181, 347.167529, 17.015609
5154.117, 347.205343, 17.064461
8299.652, 347.191216, 17.047341
16508.539, 347.140875, 16.986115
24226.097, 347.148372, 16.995516
41395.829, 347.121723, 16.962535
284028.847, 347.196057, 17.063516
14478.816, 347.233311, 17.106492
222372.182, 347.205196, 17.076990
10892.745, 347.131173, 16.977983
5779.796, 347.143235, 16.994050
6279.979, 347.151983, 17.005999
15012.343, 347.187291, 17.052559
2606.349, 347.227904, 17.103543
7778.674, 347.130730, 16.980732
8901.024, 347.133881, 16.986621
2558.902, 347.223609, 17.100679
3063.019, 347.124431, 16.975477
5266.292, 347.254482, 17.142216
3117.104, 347.163274, 17.026863
6288.807, 347.159575, 17.022749
16072.338, 347.186545, 17.058684
5228.443, 347.199182, 17.073975
4657.557, 347.180986, 17.051303
7889.257, 347.116544, 16.968696
16032.998, 347.119198, 16.972765
5701.941, 347.129788, 16.986882
8269.529, 347.147927, 17.010849
6783.143, 347.156485, 17.021394
6282.646, 347.140754, 17.003123
8255.572, 347.112678, 16.967546
16515.266, 347.176408, 17.049869
21858.005, 347.113764, 16.972795
27504.248, 347.120666, 16.981989
7792.684, 347.179925, 17.056115
18287.311, 347.191199, 17.071503
5834.898, 347.137660, 17.002224
4173.155, 347.183898, 17.062860
2648.057, 347.194277, 17.075955
7811.979, 347.116595, 16.977776
12911.877, 347.122654, 16.986166
5195.820, 347.198203, 17.083023
8853.921, 347.108149, 16.969301
4659.199, 347.124107, 16.989377
3105.753, 347.177418, 17.058190
222656.483, 347.182996, 17.071658
4636.572, 347.127192, 16.994578
7249.542, 347.113216, 16.977864
5176.910, 347.228971, 17.127093
16033.326, 347.196821, 17.088063
33639.052, 347.136106, 17.011866
