# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
119382.369, 347.257505, 16.863185
28546.597, 347.483327, 17.152247
2766.803, 347.259378, 16.870195
25527.031, 347.352022, 16.992444
2894.547, 347.314508, 16.946367
2295.325, 347.252094, 16.866858
4609.721, 347.365765, 17.013429
3715.114, 347.266748, 16.887715
5038.667, 347.353110, 16.999054
3768.560, 347.430888, 17.100806
2270.746, 347.285183, 16.916832
3735.804, 347.365840, 17.021525
5994.012, 347.295393, 16.933268
14130.424, 347.262268, 16.895891
19961.586, 347.237294, 16.867963
12437.915, 347.356980, 17.024977
34924.405, 347.457583, 17.153770
6456.711, 347.262509, 16.902736
35171.874, 347.477252, 17.180706
3270.233, 347.366772, 17.037668
5122.437, 347.274201, 16.923473
89454.655, 347.392372, 17.079390
31760.883, 347.479009, 17.188772
10548.405, 347.241815, 16.885458
45903.237, 347.412860, 17.107928
2777.741, 347.294570, 16.956981
3181.858, 347.231757, 16.878282
3206.483, 347.399753, 17.092863
39672.898, 347.373189, 17.068829
6904.137, 347.253630, 16.914644
2276.386, 347.228335, 16.882576
127899.080, 347.261498, 16.932721
3205.082, 347.224154, 16.883334
2311.455, 347.248849, 16.922299
3342.755, 347.213361, 16.879007
27817.019, 347.217796, 16.887039
9637.874, 347.305237, 16.998847
104911.890, 347.232173, 16.912302
2765.193, 347.252623, 16.934502
2811.895, 347.212269, 16.885478
59600.968, 347.257744, 16.948602
5945.576, 347.330735, 17.039356
14652.188, 347.279598, 16.976386
3688.058, 347.211659, 16.889739
10471.165, 347.217177, 16.899145
4621.246, 347.205375, 16.885055
2355.165, 347.262295, 16.957235
4560.327, 347.265919, 16.963412
64544.492, 347.331951, 17.052593
6410.427, 347.209121, 16.894213
4160.653, 347.204952, 16.888536
5528.468, 347.213599, 16.903202
2330.288, 347.235034, 16.931849
3717.055, 347.248483, 16.950432
3237.620, 347.244199, 16.946484
2311.408, 347.216820, 16.914031
9187.992, 347.198690, 16.892618
76140.032, 347.243528, 16.955397
16840.001, 347.336649, 17.071299
5067.709, 347.221083, 16.925290
3269.330, 347.406676, 17.162801
28710.533, 347.324561, 17.065030
17819.392, 347.212986, 16.923499
27002.502, 347.200817, 16.910438
3284.735, 347.250700, 16.975198
30188.062, 347.275840, 17.011351
4129.597, 347.232571, 16.952883
10970.101, 347.236511, 16.960092
3243.590, 347.246774, 16.972436
3217.102, 347.258997, 16.988843
16905.428, 347.219742, 16.939932
13623.166, 347.195280, 16.910821
2346.190, 347.203534, 16.919664
5911.267, 347.198690, 16.914527
3680.514, 347.188613, 16.903321
3701.238, 347.243614, 16.974191
2818.529, 347.371569, 17.141515
12791.485, 347.279261, 17.025816
2287.417, 347.191075, 16.913408
2755.424, 347.181014, 16.902665
8245.678, 347.227861, 16.963915
5043.621, 347.231579, 16.971228
5018.793, 347.201649, 16.933065
3664.790, 347.192413, 16.923169
5060.639, 347.187013, 16.916666
9616.250, 347.240428, 16.986032
17456.681, 347.287561, 17.047189
6410.740, 347.215394, 16.957090
4564.758, 347.185847, 16.922356
4957.750, 347.202586, 16.943325
6914.628, 347.174011, 16.908997
10958.653, 347.175445, 16.911868
10080.335, 347.235809, 16.991067
3721.489, 347.177355, 16.917830
4580.779, 347.213702, 16.965794
4116.370, 347.259201, 17.024544
8166.442, 347.181571, 16.926733
2833.119, 347.223559, 16.980385
2266.365, 347.194637, 16.943338
2816.314, 347.246983, 17.010814
4103.481, 347.281471, 17.054942
8708.807, 347.176222, 16.920866
3680.889, 347.203680, 16.955928
8261.043, 347.382521, 17.187754
74852.428, 347.339925, 17.137360
3706.002, 347.168174, 16.914840
10106.620, 347.185494, 16.937680
4555.114, 347.293953, 17.078191
5978.967, 347.206917, 16.968596
3279.393, 347.174303, 16.926137
91196.886, 347.180227, 16.942269
5011.599, 347.301483, 17.092674
3659.152, 347.178375, 16.936220
2759.994, 347.216815, 16.986151
11847.884, 347.175336, 16.935446
71791.147, 347.328464, 17.135663
3733.194, 347.200469, 16.969300
4166.759, 347.334340, 17.141430
173629.358, 347.340282, 17.155813
8260.180, 347.203212, 16.975099
8291.958, 347.220772, 16.999810
7766.965, 347.162067, 16.925959
2781.936, 347.264837, 17.056786
2291.384, 347.182851, 16.952564
9916.166, 347.225966, 17.008970
7781.471, 347.172204, 16.944087
3625.218, 347.208656, 16.990955
6830.540, 347.159461, 16.928811
6424.436, 347.204617, 16.989345
29215.681, 347.325003, 17.145492
18244.843, 347.184047, 16.966411
2352.951, 347.152546, 16.923231
8343.094, 347.166572, 16.942148
27554.294, 347.250975, 17.052560
5493.994, 347.160277, 16.934987
4590.939, 347.168609, 16.946329
2319.245, 347.244402, 17.042719
9774.919, 347.286696, 17.098588
10579.399, 347.171893, 16.953780
7781.468, 347.219432, 17.015221
11015.992, 347.245448, 17.049733
4160.971, 347.177433, 16.961516
5981.328, 347.205502, 16.998055
9668.674, 347.158872, 16.939460
5042.221, 347.207354, 17.001081
2328.257, 347.183992, 16.971564
5996.312, 347.172787, 16.958488
80155.546, 347.295638, 17.119223
3175.915, 347.186578, 16.976823
11946.063, 347.182618, 16.973449
53529.968, 347.374564, 17.221496
2280.411, 347.230537, 17.036207
6907.743, 347.200095, 16.998672
2731.064, 347.215900, 17.018265
6854.592, 347.197516, 16.995495
5091.178, 347.226966, 17.033789
33381.374, 347.359707, 17.205762
53371.987, 347.351677, 17.198832
7422.028, 347.147285, 16.934852
4537.692, 347.259424, 17.079516
