# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
30950.374, 347.506783, 17.202696
2099.785, 347.429723, 17.104104
23972.195, 347.495895, 17.193303
2996.394, 347.363238, 17.023274
4703.325, 347.340428, 16.994738
3015.377, 347.256415, 16.890173
5936.561, 347.266085, 16.903095
9910.246, 347.298402, 16.946124
7238.245, 347.352893, 17.018642
37594.709, 347.477460, 17.181095
39079.189, 347.356511, 17.026655
5098.125, 347.254675, 16.894990
11090.567, 347.353094, 17.022277
6894.978, 347.250100, 16.892954
91406.926, 347.392185, 17.079984
8133.118, 347.451288, 17.153271
4735.573, 347.276241, 16.931868
17737.510, 347.292615, 16.960710
32251.824, 347.457091, 17.173989
4737.313, 347.271482, 16.936902
2146.184, 347.252146, 16.912458
10526.661, 347.237786, 16.897631
3809.260, 347.248664, 16.909196
130841.425, 347.261432, 16.933054
5140.197, 347.302737, 16.980108
9298.955, 347.229903, 16.890006
3439.398, 347.305989, 16.986865
2588.524, 347.240978, 16.903835
2171.229, 347.337581, 17.027578
43221.974, 347.412313, 17.128022
17736.152, 347.458152, 17.185874
3826.240, 347.276254, 16.952839
10940.070, 347.225783, 16.892030
3003.003, 347.233295, 16.902332
2540.252, 347.284395, 16.968448
14410.879, 347.366648, 17.076029
4297.140, 347.402169, 17.119671
8573.121, 347.225811, 16.896600
75186.599, 347.233612, 16.912034
40238.806, 347.372343, 17.088912
6421.527, 347.229541, 16.905498
33818.538, 347.281410, 16.974961
3361.686, 347.224830, 16.899127
6074.946, 347.469161, 17.213493
2958.615, 347.243859, 16.925576
9881.633, 347.263731, 16.951724
4781.025, 347.251843, 16.938228
51296.362, 347.257689, 16.949112
3003.355, 347.273117, 16.967036
4268.067, 347.354807, 17.072812
12281.807, 347.301201, 17.005797
2099.577, 347.478860, 17.233860
59873.224, 347.332265, 17.052741
2534.899, 347.226800, 16.914518
8565.533, 347.213301, 16.899577
3826.185, 347.287080, 16.992731
2980.925, 347.244515, 16.939149
13167.763, 347.211073, 16.909670
76268.347, 347.243165, 16.955441
2996.055, 347.224846, 16.930088
14980.549, 347.215776, 16.920124
2140.107, 347.296362, 17.029221
3002.040, 347.323151, 17.063715
9126.719, 347.359140, 17.111277
2670.046, 347.244102, 16.963555
4234.256, 347.289496, 17.022502
3818.554, 347.210541, 16.921092
3451.386, 347.223000, 16.937178
7660.418, 347.215544, 16.931508
15778.329, 347.270814, 17.002897
17982.753, 347.276378, 17.010089
12760.309, 347.211884, 16.931009
7244.509, 347.224411, 16.947111
14899.060, 347.336059, 17.091654
7284.578, 347.226655, 16.954899
3898.310, 347.256661, 16.993491
2513.611, 347.262208, 17.001081
8544.191, 347.236290, 16.969059
4822.966, 347.198951, 16.921041
3401.824, 347.456074, 17.250852
12371.319, 347.216346, 16.946411
4705.002, 347.258133, 17.001116
3871.413, 347.285085, 17.037632
24362.663, 347.191032, 16.921284
7199.598, 347.310444, 17.072874
14608.816, 347.450831, 17.253980
5133.932, 347.197424, 16.933881
6009.213, 347.216521, 16.958975
3908.389, 347.274258, 17.032315
7241.086, 347.206431, 16.947029
2544.551, 347.284371, 17.047488
3000.012, 347.226818, 16.974393
8946.116, 347.184387, 16.922243
7139.339, 347.189126, 16.927564
2944.264, 347.201073, 16.943014
19109.510, 347.244795, 17.003123
5647.052, 347.275277, 17.041277
13567.396, 347.360157, 17.151612
3493.768, 347.376093, 17.170350
4299.856, 347.413092, 17.218330
8595.666, 347.239438, 16.997540
9825.668, 347.348304, 17.137673
25860.696, 347.199211, 16.951187
2564.147, 347.247649, 17.011272
5929.363, 347.346677, 17.140225
8536.948, 347.191256, 16.942196
77985.648, 347.339770, 17.137017
6362.152, 347.382241, 17.189182
2603.608, 347.254632, 17.025565
6379.300, 347.349301, 17.147953
6364.008, 347.373357, 17.179347
2579.644, 347.237315, 17.004732
5170.378, 347.211968, 16.974262
2139.168, 347.225799, 16.993771
6813.247, 347.323809, 17.121990
87445.359, 347.180160, 16.942498
75284.860, 347.328403, 17.135785
174955.614, 347.340313, 17.156096
5463.110, 347.296579, 17.095859
2143.006, 347.244043, 17.029161
2499.687, 347.193054, 16.965289
2530.153, 347.179957, 16.949511
3003.179, 347.275363, 17.072473
5470.502, 347.185734, 16.958678
20619.872, 347.360577, 17.184854
5191.905, 347.175877, 16.949835
2158.542, 347.203129, 16.984430
14812.263, 347.323936, 17.145064
16117.927, 347.163922, 16.942453
6767.001, 347.310181, 17.127430
3013.057, 347.226485, 17.019906
9027.137, 347.363222, 17.196498
16119.833, 347.197270, 16.986396
3003.078, 347.195599, 16.982642
2151.383, 347.192479, 16.979376
9355.420, 347.218769, 17.014454
2994.136, 347.220828, 17.016321
14422.766, 347.170854, 16.953591
92566.017, 347.295492, 17.119233
2100.582, 347.176284, 16.961074
9084.104, 347.329736, 17.160325
6737.760, 347.169866, 16.956080
61393.136, 347.374248, 17.221523
2566.797, 347.359589, 17.199889
2183.089, 347.229037, 17.033004
4734.778, 347.202654, 17.000817
18325.948, 347.197908, 16.995872
3416.003, 347.215843, 17.018210
4770.404, 347.170376, 16.961824
6010.907, 347.207197, 17.009714
20479.975, 347.359716, 17.205867
5616.366, 347.155264, 16.943551
4273.014, 347.177576, 16.971653
48384.060, 347.351924, 17.199105
3829.706, 347.232650, 17.044787
6328.491, 347.211117, 17.018270
8951.545, 347.222023, 17.032498
2561.026, 347.363867, 17.214153
6846.444, 347.189745, 16.991415
8095.133, 347.204081, 17.010949
37371.549, 347.178912, 16.982000
2138.015, 347.183987, 16.984484
25882.180, 347.250320, 17.072673
4286.650, 347.236531, 17.054517
8025.329, 347.276038, 17.107126
4333.874, 347.357035, 17.210965
30150.269, 347.192282, 17.002159
16570.860, 347.237318, 17.060268
8099.062, 347.200810, 17.013417
7658.275, 347.223435, 17.041417
2561.020, 347.185826, 16.993142
2581.779, 347.220827, 17.038317
8514.518, 347.244632, 17.069395
11076.383, 347.150466, 16.950365
3829.520, 347.225468, 17.046157
7641.861, 347.154681, 16.957215
2549.944, 347.187355, 16.998361
8916.311, 347.246420, 17.075467
12749.322, 347.162651, 16.971106
3425.238, 347.197281, 17.013627
5595.191, 347.270847, 17.109835
26495.823, 347.365276, 17.231844
4738.749, 347.227993, 17.056553
9072.374, 347.166727, 16.979505
26297.552, 347.148678, 16.961005
5065.468, 347.154469, 16.964341
4285.949, 347.235879, 17.068973
2544.170, 347.197442, 17.019656
31822.524, 347.216896, 17.047698
2558.818, 347.271909, 17.116337
3421.548, 347.158109, 16.970960
3385.644, 347.232351, 17.066362
3428.015, 347.251098, 17.090854
2597.445, 347.204522, 17.032231
16651.842, 347.143081, 16.957417
2940.919, 347.212626, 17.043851
3052.168, 347.220288, 17.053498
17223.240, 347.162603, 16.981918
50916.905, 347.238519, 17.082697
6027.338, 347.230216, 17.071008
2154.690, 347.248156, 17.093411
10642.615, 347.156801, 16.977639
8980.585, 347.176498, 17.005243
7282.593, 347.194926, 17.029672
4272.987, 347.241399, 17.089341
4584.840, 347.352162, 17.233096
484242.624, 347.271249, 17.138942
6377.293, 347.292681, 17.159137
7323.331, 347.199938, 17.041016
13265.957, 347.154424, 16.984309
6346.116, 347.179078, 17.014812
3438.845, 347.185791, 17.025497
7221.499, 347.132135, 16.957831
2977.561, 347.151427, 16.982001
5072.248, 347.137949, 16.965590
3886.623, 347.143076, 16.972303
2971.252, 347.241451, 17.098034
13992.977, 347.146427, 16.978658
5552.692, 347.174463, 17.016897
4712.535, 347.236369, 17.096008
8535.198, 347.252731, 17.117611
3883.112, 347.147825, 16.983354
3809.180, 347.211798, 17.066495
4685.071, 347.188019, 17.037166
4725.535, 347.202437, 17.054958
8163.947, 347.221966, 17.080528
2554.763, 347.293829, 17.171973
5998.830, 347.143321, 16.980529
2609.119, 347.250415, 17.118679
11559.732, 347.134521, 16.970618
2142.994, 347.192228, 17.045753
58442.113, 347.233457, 17.105311
6397.675, 347.169499, 17.020051
7645.003, 347.193309, 17.052396
6438.451, 347.195937, 17.055273
190300.643, 347.195641, 17.063633
2140.938, 347.263597, 17.141850
7307.645, 347.354171, 17.258107
18805.622, 347.154140, 17.004615
9760.812, 347.335501, 17.235124
3449.584, 347.190135, 17.049342
2561.133, 347.227074, 17.097109
4296.943, 347.256201, 17.134870
4288.321, 347.220021, 17.089338
2602.254, 347.180978, 17.039941
133704.503, 347.204690, 17.077323
17831.590, 347.148688, 17.001558
8992.283, 347.161464, 17.016865
7676.891, 347.211878, 17.081553
7200.428, 347.135023, 16.983213
5140.590, 347.135977, 16.985847
15828.631, 347.201806, 17.070717
9289.597, 347.175641, 17.036979
6808.788, 347.213444, 17.085632
32363.436, 347.161782, 17.022556
37651.181, 347.289316, 17.186494
7257.397, 347.149542, 17.006375
2534.847, 347.209086, 17.082616
3864.100, 347.126455, 16.977179
3800.597, 347.249274, 17.135417
25967.835, 347.306120, 17.211965
3394.044, 347.309301, 17.214200
16518.673, 347.117191, 16.971010
2110.985, 347.223927, 17.105890
3898.044, 347.120218, 16.974263
6756.336, 347.336020, 17.252192
5985.480, 347.219776, 17.104623
5058.856, 347.158737, 17.026335
4241.881, 347.181006, 17.054587
2150.454, 347.134082, 16.995180
6425.580, 347.137336, 16.999491
3861.929, 347.148267, 17.013883
7678.382, 347.215987, 17.101545
3876.429, 347.358388, 17.284285
2180.124, 347.187191, 17.064890
9757.388, 347.125688, 16.987420
3052.519, 347.130182, 16.992996
3443.162, 347.197827, 17.079553
11123.224, 347.132255, 16.998127
2585.816, 347.121811, 16.984025
14855.422, 347.173776, 17.053450
5564.142, 347.182525, 17.062048
3790.886, 347.166877, 17.042641
5591.907, 347.211446, 17.100171
19918.963, 347.357039, 17.287272
2149.412, 347.114448, 16.975934
206764.321, 347.183752, 17.071939
13590.967, 347.121920, 16.986986
5115.091, 347.147760, 17.020611
4698.605, 347.123739, 16.991624
4781.241, 347.193027, 17.080895
6856.568, 347.116465, 16.983105
2608.886, 347.235482, 17.135803
4270.059, 347.249498, 17.153395
8872.519, 347.109682, 16.976018
3852.403, 347.126913, 16.997051
28299.603, 347.199196, 17.092000
19670.477, 347.149078, 17.028408
14463.914, 347.127821, 17.001869
5163.950, 347.167911, 17.051233
5517.520, 347.132500, 17.006557
8546.255, 347.134603, 17.012147
25921.204, 347.187952, 17.082749
4763.679, 347.213618, 17.112553
3799.002, 347.220288, 17.122819
2595.448, 347.117006, 16.991080
5081.688, 347.147790, 17.033058
37246.369, 347.209492, 17.115849
3418.708, 347.229066, 17.138124
2105.685, 347.117558, 16.995675
3002.082, 347.126897, 17.008282
3502.280, 347.137362, 17.021608
4258.476, 347.157109, 17.047091
50379.926, 347.312999, 17.251277
25388.553, 347.118190, 17.003297
9444.175, 347.113407, 16.994884
9801.055, 347.170252, 17.069870
38255.009, 347.177447, 17.083546
38900.094, 347.290988, 17.226962
9347.235, 347.099684, 16.980843
16070.641, 347.103506, 16.989228
