# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
67321.058, 346.971666, 17.168559
6637.466, 346.912678, 17.089597
4665.748, 347.159879, 17.412003
18577.452, 347.078786, 17.305462
42778.421, 346.909218, 17.082188
12407.425, 347.166520, 17.417993
28649.845, 347.155842, 17.403400
21827.240, 346.989183, 17.186302
2359.223, 346.962442, 17.154000
17873.422, 346.937516, 17.117483
12653.677, 347.026646, 17.234874
1954.790, 347.029013, 17.239585
3478.304, 346.998005, 17.198682
10512.898, 347.014038, 17.218212
3108.463, 347.006385, 17.209019
1928.006, 347.135018, 17.375866
2784.966, 347.074603, 17.297240
10897.124, 347.069185, 17.288840
15084.049, 347.061505, 17.278600
3114.461, 347.045664, 17.258160
5431.894, 347.037368, 17.246794
10102.520, 346.972660, 17.162084
4671.235, 347.128873, 17.365719
12841.737, 347.132483, 17.365955
4732.127, 347.025552, 17.229360
2335.986, 346.930833, 17.106388
5436.705, 347.090165, 17.312864
2739.798, 346.959759, 17.142816
46126.677, 347.118198, 17.344526
2757.967, 346.961533, 17.144734
3488.757, 346.929360, 17.102631
2371.165, 346.988941, 17.179462
1932.505, 346.940278, 17.115426
88504.342, 347.007187, 17.198379
3639.719, 347.102433, 17.325591
6583.744, 347.059782, 17.269470
8219.940, 347.014007, 17.209873
104942.986, 346.986053, 17.169275
16213.082, 347.122725, 17.348495
3923.911, 347.112320, 17.337974
12352.520, 347.136910, 17.365960
8160.442, 347.029009, 17.225702
8155.705, 346.915848, 17.078378
3150.872, 346.964286, 17.141638
7479.877, 346.952317, 17.125586
2321.769, 347.132525, 17.360807
4699.799, 347.098407, 17.315385
21705.524, 347.091899, 17.303831
34883.692, 347.081590, 17.288086
10793.426, 346.967829, 17.143828
3942.771, 346.918272, 17.080473
9706.482, 347.155611, 17.389304
1921.924, 347.048442, 17.249891
14635.630, 346.979995, 17.157772
9753.830, 347.035326, 17.231678
3105.762, 347.161714, 17.396128
3125.339, 347.058840, 17.261823
1937.436, 347.001530, 17.187533
13184.119, 347.133363, 17.356405
7383.264, 346.973269, 17.148249
2679.178, 346.948449, 17.117293
124141.080, 347.123831, 17.338887
3867.647, 347.052250, 17.250059
5401.480, 346.992219, 17.172089
16581.676, 347.131300, 17.351686
32359.016, 346.996334, 17.173143
7004.545, 347.167186, 17.397896
1934.746, 346.985741, 17.161720
4736.624, 347.173387, 17.405088
2732.609, 347.060712, 17.258517
27190.845, 347.042174, 17.231189
3160.492, 347.047936, 17.241242
31851.997, 346.972934, 17.140568
12000.742, 347.105537, 17.313668
8191.367, 347.070981, 17.267865
16977.084, 346.924200, 17.075883
6270.981, 347.063612, 17.258286
7311.227, 347.016747, 17.196475
7381.907, 346.953700, 17.114711
2391.636, 346.947929, 17.108319
10463.449, 346.938200, 17.094297
4294.513, 347.088656, 17.290496
3047.717, 347.115816, 17.325577
16214.771, 347.092827, 17.293116
3578.321, 347.177838, 17.405484
2369.000, 347.143305, 17.360655
6244.605, 346.966376, 17.129077
72126.455, 347.087588, 17.282262
6602.819, 347.081176, 17.278712
3859.314, 347.055245, 17.245127
26862.773, 347.123350, 17.331193
1966.929, 347.114313, 17.321727
21310.546, 347.029677, 17.207596
4652.329, 347.159267, 17.378545
10430.272, 346.965856, 17.125186
32651.219, 346.960595, 17.116891
2297.283, 347.030556, 17.210587
6657.199, 346.989181, 17.155070
17172.678, 347.151784, 17.366472
6152.199, 347.022636, 17.198360
4989.474, 346.978385, 17.140339
5038.155, 347.173132, 17.392912
3850.933, 347.138962, 17.349160
14021.093, 347.130640, 17.336013
21041.892, 347.157875, 17.369686
2346.419, 347.065846, 17.253120
8533.777, 347.062713, 17.247724
4317.923, 347.002188, 17.169813
2347.205, 347.059434, 17.243695
11330.567, 347.041744, 17.218039
2693.641, 347.159689, 17.373707
5009.037, 346.972235, 17.128357
9680.923, 346.947453, 17.093803
5523.320, 347.068581, 17.253145
7025.623, 347.020214, 17.188093
26135.474, 346.939820, 17.081723
5457.340, 347.006702, 17.170708
8921.919, 347.183592, 17.400233
23739.728, 347.110247, 17.303099
3136.687, 346.997344, 17.157560
67514.867, 346.994109, 17.148064
2717.381, 347.166137, 17.376267
11252.704, 347.129013, 17.327372
2732.085, 347.098793, 17.288703
46568.286, 347.004846, 17.163023
3587.531, 346.973724, 17.125261
6218.536, 347.180382, 17.392399
12409.250, 347.147398, 17.348275
5937.774, 347.158757, 17.362466
5042.456, 347.071711, 17.248828
50050.337, 347.067827, 17.239254
3862.081, 346.944478, 17.083078
3511.347, 347.187715, 17.399662
4296.721, 346.970962, 17.116576
2344.702, 347.093943, 17.276746
2792.945, 347.013814, 17.172207
3930.976, 346.979811, 17.127593
4303.585, 347.167665, 17.372203
3859.847, 347.125688, 17.317428
22835.460, 347.077270, 17.251970
2710.782, 347.030862, 17.192351
14423.553, 347.186178, 17.392588
3135.090, 347.151829, 17.349483
9362.489, 347.045940, 17.210526
2377.415, 347.021758, 17.179410
3516.180, 346.987319, 17.134802
5762.127, 346.952483, 17.088548
5371.346, 347.134132, 17.325379
4241.619, 347.131805, 17.322796
17887.727, 347.124513, 17.311320
8184.641, 347.011004, 17.163779
