# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
9808.460, 347.502368, 17.130692
12086.571, 347.261634, 16.825211
14062.910, 347.367707, 16.963800
24287.719, 347.362488, 16.961220
6354.180, 347.377984, 16.979777
15780.177, 347.424426, 17.042865
6388.819, 347.295610, 16.888717
87082.633, 347.437312, 17.075853
18854.754, 347.443165, 17.081764
3750.972, 347.391494, 17.015851
4528.592, 347.255072, 16.846471
3352.678, 347.293930, 16.898890
34964.992, 347.468926, 17.124349
176094.742, 347.258382, 16.862620
17839.002, 347.334836, 16.957347
5811.619, 347.373122, 17.007430
44976.138, 347.483978, 17.152178
6260.998, 347.445445, 17.100548
2114.075, 347.431438, 17.082775
44635.630, 347.424025, 17.078182
17360.937, 347.470017, 17.136129
16636.880, 347.237507, 16.841972
38442.523, 347.351623, 16.992581
18774.586, 347.366349, 17.013144
3318.261, 347.389542, 17.041150
2105.198, 347.243454, 16.855552
5421.287, 347.233243, 16.848771
15353.732, 347.430035, 17.103029
8784.910, 347.244052, 16.866271
3399.938, 347.288189, 16.922026
4605.682, 347.263571, 16.896308
3359.695, 347.362846, 17.022540
3314.645, 347.231352, 16.855968
9651.972, 347.255192, 16.890456
5451.542, 347.230382, 16.862211
33992.563, 347.477134, 17.181120
9630.678, 347.357378, 17.027916
104168.525, 347.392045, 17.079512
12560.202, 347.451053, 17.153691
4230.272, 347.345623, 17.020833
2960.658, 347.230160, 16.873834
9661.893, 347.305791, 16.974250
7118.411, 347.228832, 16.876520
8048.181, 347.370944, 17.061079
2137.300, 347.282418, 16.947667
8730.635, 347.302496, 16.976702
7090.893, 347.221887, 16.873734
2945.377, 347.252080, 16.911572
9249.214, 347.248696, 16.908761
4205.994, 347.242501, 16.900903
116011.442, 347.261508, 16.933100
4712.324, 347.458873, 17.180537
6700.883, 347.357779, 17.053126
4582.206, 347.419883, 17.132309
7118.372, 347.208656, 16.862915
16339.899, 347.347834, 17.041845
5507.835, 347.233698, 16.900567
38670.543, 347.218402, 16.887043
2120.994, 347.268469, 16.946731
5874.656, 347.253350, 16.928394
24428.337, 347.336021, 17.035422
75833.931, 347.233174, 16.911984
17023.733, 347.202488, 16.871914
11285.298, 347.280584, 16.973059
43519.393, 347.259167, 16.949593
4149.591, 347.253014, 16.941227
5414.708, 347.204634, 16.882077
56279.848, 347.331897, 17.052721
6288.132, 347.206655, 16.890465
2505.342, 347.238008, 16.934301
5029.696, 347.197190, 16.884138
3740.811, 347.376813, 17.115548
3812.247, 347.229977, 16.929467
18679.272, 347.403718, 17.152916
2936.083, 347.239161, 16.941668
5847.506, 347.216839, 16.914835
70067.325, 347.243560, 16.955221
2123.192, 347.303506, 17.027707
4216.962, 347.408058, 17.165492
8424.663, 347.199555, 16.899299
4629.756, 347.233558, 16.946360
3344.554, 347.315448, 17.051957
116921.342, 347.179751, 16.885682
3768.475, 347.391353, 17.152049
4594.095, 347.216359, 16.931148
6746.853, 347.185522, 16.893112
18316.638, 347.276248, 17.011452
3347.801, 347.216770, 16.935204
7132.649, 347.190558, 16.902757
5058.696, 347.283997, 17.026293
16571.535, 347.261840, 17.002163
9604.944, 347.325531, 17.081684
5921.104, 347.203644, 16.927658
9211.094, 347.187880, 16.909405
3754.426, 347.172141, 16.890464
3357.792, 347.220327, 16.951711
4171.882, 347.214732, 16.945209
3405.321, 347.433269, 17.224606
9653.844, 347.219671, 16.955978
11643.493, 347.170227, 16.898421
7601.165, 347.185662, 16.919302
9191.588, 347.175744, 16.910213
2527.778, 347.281117, 17.042482
2941.446, 347.221070, 16.966851
21192.017, 347.262143, 17.023096
12999.401, 347.298070, 17.068826
5883.661, 347.227286, 16.979123
18929.095, 347.306721, 17.081591
5907.040, 347.245736, 17.003723
55741.142, 347.385079, 17.185987
2087.382, 347.246888, 17.007021
3342.125, 347.158247, 16.897726
62865.350, 347.339911, 17.137761
9525.730, 347.209950, 16.971617
2926.894, 347.155707, 16.901393
114434.755, 347.180706, 16.942276
23579.954, 347.228173, 16.998408
4195.378, 347.172797, 16.926404
6672.796, 347.167660, 16.920608
5455.660, 347.189777, 16.948758
3749.653, 347.241011, 17.015539
3875.393, 347.368956, 17.179232
14818.630, 347.174332, 16.932361
7966.680, 347.237398, 17.012978
3396.940, 347.365927, 17.176522
8778.940, 347.171455, 16.929946
73965.699, 347.328842, 17.135858
9574.053, 347.186989, 16.954190
165236.993, 347.340217, 17.155979
5432.638, 347.155746, 16.916653
4177.248, 347.201735, 16.976137
5023.973, 347.223426, 17.004107
2981.051, 347.208967, 16.987419
7972.400, 347.148973, 16.913950
4203.160, 347.167551, 16.937448
2959.069, 347.263652, 17.060764
8410.689, 347.230487, 17.023434
7854.004, 347.246066, 17.043491
6674.244, 347.156054, 16.930639
19920.506, 347.220075, 17.014274
14124.163, 347.205803, 16.995727
2935.899, 347.275287, 17.084255
2974.682, 347.148858, 16.923149
2088.150, 347.153291, 16.928961
7194.772, 347.382914, 17.224522
4955.926, 347.164826, 16.945565
2923.431, 347.201832, 16.993544
7133.218, 347.178153, 16.963940
79312.421, 347.295509, 17.119045
5378.767, 347.279414, 17.095952
58150.988, 347.373978, 17.221187
11406.692, 347.208040, 17.007262
28010.805, 347.361068, 17.204945
16603.348, 347.134640, 16.915777
3358.081, 347.139916, 16.921935
6277.572, 347.158997, 16.946174
9102.957, 347.172670, 16.965721
2588.007, 347.389570, 17.242432
60502.554, 347.352027, 17.198523
7126.240, 347.142209, 16.929613
5888.508, 347.287747, 17.115916
4149.054, 347.195326, 17.000622
18571.216, 347.301274, 17.136843
24124.286, 347.171249, 16.972061
2147.120, 347.161253, 16.957908
7577.721, 347.201923, 17.010532
3772.176, 347.207359, 17.016725
2527.924, 347.274335, 17.102476
5962.096, 347.182820, 16.986820
4618.651, 347.215533, 17.028685
2535.370, 347.136398, 16.930074
11726.586, 347.196999, 17.008410
3369.897, 347.242856, 17.066547
17198.672, 347.191495, 17.002876
40668.412, 347.131749, 16.928450
2937.444, 347.141809, 16.938017
5895.958, 347.163566, 16.966527
5034.311, 347.309275, 17.155071
12011.264, 347.186286, 16.998563
40795.198, 347.198681, 17.018098
41064.271, 347.365681, 17.231652
2962.174, 347.341148, 17.198093
2949.337, 347.150231, 16.954839
2924.496, 347.125669, 16.928141
17205.118, 347.161362, 16.978690
13715.304, 347.194274, 17.021367
6254.269, 347.148847, 16.962743
4219.433, 347.258506, 17.103744
5831.411, 347.127071, 16.937469
17042.689, 347.147245, 16.965731
12394.643, 347.167327, 16.991910
7053.087, 347.183932, 17.012476
10908.652, 347.194484, 17.026447
4234.379, 347.142709, 16.960034
11704.079, 347.189303, 17.020253
2527.781, 347.172532, 16.998466
5376.607, 347.236294, 17.081159
4242.891, 347.177809, 17.007056
161605.594, 347.127930, 16.951506
483010.429, 347.271588, 17.138648
5006.245, 347.163606, 16.992082
3368.554, 347.249448, 17.101280
2559.865, 347.159677, 16.987327
4216.893, 347.246076, 17.099290
7973.313, 347.184029, 17.021519
5868.295, 347.149527, 16.977390
7871.067, 347.207427, 17.052968
2495.481, 347.117637, 16.937407
5031.405, 347.217652, 17.066162
5089.411, 347.314403, 17.189429
5468.624, 347.219751, 17.068742
2077.306, 347.121109, 16.942703
26238.597, 347.184839, 17.027881
3358.979, 347.137744, 16.966165
6321.317, 347.182931, 17.024165
3397.220, 347.201276, 17.049355
4252.699, 347.325323, 17.209297
5420.410, 347.166521, 17.007925
6733.910, 347.180203, 17.025532
15418.249, 347.188468, 17.038126
15932.141, 347.219460, 17.078542
2985.413, 347.256275, 17.124204
7536.696, 347.185318, 17.034698
7540.250, 347.131525, 16.968276
2921.703, 347.105428, 16.935332
2122.123, 347.141997, 16.982522
5390.139, 347.150018, 16.992542
3849.180, 347.315453, 17.205025
12111.840, 347.169973, 17.021614
10380.974, 347.214672, 17.078563
7970.740, 347.181395, 17.035869
2124.144, 347.212244, 17.074682
2097.283, 347.326107, 17.220573
36378.457, 347.233041, 17.105149
10798.880, 347.113876, 16.950996
4233.465, 347.137404, 16.980662
2952.209, 347.300855, 17.190529
13334.999, 347.181764, 17.039734
169361.546, 347.195583, 17.063490
10049.447, 347.128756, 16.975518
12927.977, 347.189249, 17.051737
29086.691, 347.335925, 17.240413
143299.538, 347.205139, 17.078033
2542.709, 347.266204, 17.151876
2546.677, 347.101750, 16.941577
39690.937, 347.132676, 16.986572
4223.959, 347.139003, 16.991184
3349.455, 347.186907, 17.052924
2089.182, 347.221149, 17.097468
18746.261, 347.127082, 16.981015
12913.298, 347.156669, 17.018178
5035.960, 347.315870, 17.222032
12221.375, 347.140888, 17.000368
3710.091, 347.164950, 17.029364
5424.597, 347.100581, 16.947796
3347.786, 347.177110, 17.046438
25036.198, 347.304966, 17.211399
12580.796, 347.111373, 16.963538
5866.384, 347.207338, 17.086577
5455.360, 347.164320, 17.032341
2567.202, 347.126663, 16.985990
3394.765, 347.246785, 17.140134
7996.138, 347.096796, 16.950449
21306.068, 347.116163, 16.976346
17850.345, 347.178026, 17.057992
6303.321, 347.130570, 16.996441
41618.038, 347.106445, 16.968290
5025.738, 347.111579, 16.972052
2906.161, 347.326118, 17.246217
9115.540, 347.102212, 16.961857
3360.942, 347.206397, 17.093923
2505.812, 347.200688, 17.087271
5428.286, 347.164367, 17.041841
7101.037, 347.202054, 17.091111
145622.961, 347.183036, 17.072251
9553.164, 347.109209, 16.974493
5389.941, 347.113263, 16.979485
4177.762, 347.259522, 17.167878
2112.649, 347.346899, 17.279356
4608.020, 347.171091, 17.054931
7542.669, 347.123367, 16.995859
5044.926, 347.134474, 17.009203
17933.846, 347.164991, 17.052763
