# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
95089.397, 347.392057, 17.079881
6718.932, 347.255328, 16.901512
10822.206, 347.287783, 16.944433
2743.104, 347.451843, 17.153309
9016.023, 347.313341, 16.983063
19305.962, 347.295566, 16.961183
19384.581, 347.299247, 16.967564
8090.924, 347.252094, 16.907322
7129.448, 347.307208, 16.978335
3346.492, 347.314827, 16.988490
28531.048, 347.274843, 16.941585
9040.446, 347.258731, 16.920031
10323.090, 347.292096, 16.965706
6717.629, 347.245711, 16.907018
124049.594, 347.261494, 16.932924
6311.787, 347.251827, 16.922225
3564.775, 347.243674, 16.911921
33925.684, 347.458140, 17.195832
7111.543, 347.253545, 16.933204
75096.938, 347.233323, 16.912168
2678.340, 347.302161, 16.996435
29117.128, 347.281505, 16.977074
3560.107, 347.235236, 16.915932
66468.428, 347.258009, 16.948736
25917.083, 347.479515, 17.231034
2655.110, 347.238030, 16.921439
4018.836, 347.245413, 16.930930
29187.113, 347.300933, 17.004740
5342.910, 347.315395, 17.020702
44632.709, 347.413444, 17.149714
2718.181, 347.305913, 17.011208
2741.197, 347.272959, 16.971126
5438.981, 347.478962, 17.235359
4513.153, 347.248034, 16.940195
7986.465, 347.261753, 16.957611
29053.226, 347.488157, 17.250584
3580.161, 347.294184, 16.999855
61087.601, 347.331985, 17.052460
4934.966, 347.253179, 16.949128
4054.588, 347.229259, 16.920002
15155.811, 347.232439, 16.926900
2300.715, 347.248456, 16.945132
2770.036, 347.254150, 16.953973
42550.116, 347.373720, 17.110715
3196.737, 347.222025, 16.915497
5429.285, 347.283633, 16.995025
80204.621, 347.244225, 16.955170
3601.046, 347.217424, 16.918904
4463.901, 347.294800, 17.018144
3136.206, 347.334016, 17.068195
2755.914, 347.231173, 16.939785
8130.119, 347.256679, 16.972779
3206.902, 347.344214, 17.088199
2738.155, 347.210760, 16.924127
2244.437, 347.215380, 16.929654
16982.037, 347.275876, 17.011000
3083.382, 347.395067, 17.162411
4482.406, 347.233566, 16.956052
16173.957, 347.467455, 17.257696
5372.505, 347.227839, 16.951261
2695.902, 347.240656, 16.969443
11618.573, 347.234941, 16.969468
3587.628, 347.296237, 17.047485
3117.099, 347.261781, 17.004575
7614.348, 347.374873, 17.150804
3139.815, 347.216314, 16.946930
5429.209, 347.237082, 16.974715
3608.013, 347.230312, 16.967447
23352.122, 347.451380, 17.254620
8047.685, 347.203375, 16.940662
16898.043, 347.337177, 17.113295
2679.362, 347.260242, 17.017747
