# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
5385.494, 347.294162, 16.936586
2933.532, 347.259065, 16.892212
5796.045, 347.300240, 16.945959
3682.729, 347.295133, 16.941025
4940.013, 347.296086, 16.944020
2045.015, 347.290852, 16.938188
5737.999, 347.354080, 17.019457
35647.382, 347.357122, 17.026836
12417.982, 347.303558, 16.958291
31795.623, 347.476562, 17.181143
3305.400, 347.292420, 16.945174
6609.011, 347.264467, 16.910662
95851.210, 347.392156, 17.079166
5766.601, 347.270508, 16.920379
11156.030, 347.450635, 17.153631
2890.050, 347.471060, 17.178800
2843.765, 347.265881, 16.918432
4519.869, 347.257719, 16.912271
3354.050, 347.358042, 17.042691
7780.911, 347.262435, 16.922324
2933.820, 347.449353, 17.163197
18393.977, 347.297887, 16.972662
4125.965, 347.255697, 16.919769
2085.642, 347.258513, 16.923095
30184.147, 347.462383, 17.185536
110584.035, 347.261615, 16.932939
6217.532, 347.250704, 16.915202
2102.211, 347.240824, 16.903832
3348.958, 347.289272, 16.972254
5397.011, 347.295131, 16.981369
43463.313, 347.417660, 17.139673
13828.514, 347.463778, 17.197695
75659.421, 347.233114, 16.911942
6220.665, 347.279833, 16.971596
14026.833, 347.282343, 16.974903
6120.295, 347.265189, 16.953736
2478.919, 347.254972, 16.941025
51389.280, 347.258110, 16.948483
35571.561, 347.377889, 17.100808
4263.670, 347.474631, 17.225259
5861.230, 347.479339, 17.233735
2008.353, 347.298981, 17.004967
4939.096, 347.222253, 16.909900
58327.702, 347.331686, 17.052295
4948.862, 347.342415, 17.066156
6139.370, 347.227495, 16.921489
2548.912, 347.305822, 17.023615
97679.458, 347.243785, 16.955693
2493.194, 347.224687, 16.930047
47519.233, 347.277599, 17.000798
2504.390, 347.318064, 17.050223
6565.565, 347.372788, 17.121000
4066.229, 347.219084, 16.927263
3261.969, 347.299728, 17.031091
5369.827, 347.261681, 16.984491
3316.303, 347.391910, 17.152897
4097.432, 347.242691, 16.963303
24586.871, 347.276865, 17.011645
3325.906, 347.282610, 17.016841
8228.450, 347.313519, 17.057016
3320.115, 347.354030, 17.109945
2073.363, 347.217430, 16.938407
7291.522, 347.467088, 17.256585
4147.625, 347.242841, 16.972105
2489.729, 347.307613, 17.055022
2128.261, 347.321861, 17.073976
3677.527, 347.298510, 17.045511
5718.379, 347.235253, 16.966879
16043.701, 347.341377, 17.103395
5718.173, 347.456916, 17.251092
7464.070, 347.369084, 17.139729
11603.809, 347.221387, 16.955881
4519.799, 347.238106, 16.975553
5356.000, 347.385446, 17.162929
7086.019, 347.202691, 16.931472
6594.298, 347.255975, 17.003200
6952.163, 347.207298, 16.941681
3726.731, 347.234766, 16.976825
2055.046, 347.350398, 17.124135
18526.020, 347.450906, 17.254463
3321.918, 347.373320, 17.154409
33483.726, 347.195514, 16.932874
2859.949, 347.295261, 17.065440
11672.907, 347.319831, 17.097739
7386.181, 347.221388, 16.972629
2877.937, 347.257540, 17.017374
2478.233, 347.311460, 17.086861
4093.939, 347.198745, 16.943687
2905.827, 347.276475, 17.045520
7402.282, 347.200431, 16.950711
11514.436, 347.234214, 16.993347
