# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
57956.600, 347.103331, 17.364539
54955.922, 347.072392, 17.322883
2334.943, 346.915511, 17.114864
3924.050, 347.012473, 17.231874
198945.747, 346.970172, 17.170042
12799.322, 347.124429, 17.361099
25413.064, 346.962167, 17.146386
74957.970, 347.006750, 17.195572
55282.469, 346.986501, 17.169535
16591.042, 346.941196, 17.111219
88151.454, 347.123740, 17.338633
5444.574, 346.995812, 17.173022
28991.985, 347.045563, 17.232188
29983.655, 347.087447, 17.282528
27457.561, 346.993380, 17.147851
11952.801, 347.068636, 17.239138
110698.775, 347.067771, 17.224452
6605.262, 346.995598, 17.131754
18062.794, 347.078303, 17.210230
29447.095, 347.127162, 17.267627
22013.610, 347.046770, 17.160898
44977.729, 346.998273, 17.092230
11262.018, 347.021440, 17.118920
67769.058, 347.133395, 17.257534
36768.491, 347.058433, 17.155221
19276.308, 347.186333, 17.318857
173869.444, 347.184188, 17.305264
22876.740, 347.138612, 17.243498
8904.188, 347.104823, 17.190677
49574.980, 347.020297, 17.075758
51861.632, 347.001978, 17.045596
6934.080, 347.129858, 17.210618
19022.794, 347.252236, 17.358634
9949.839, 347.132164, 17.203274
15526.472, 347.123669, 17.190473
97362.338, 347.104251, 17.151949
7377.620, 347.096215, 17.137870
46302.943, 347.042812, 17.064436
25553.943, 347.239650, 17.322158
35479.429, 347.090890, 17.125346
41760.142, 347.179415, 17.239517
50386.932, 347.193464, 17.255313
27632.979, 347.221520, 17.278162
39293.584, 347.133030, 17.155566
26091.464, 347.218304, 17.266125
17639.681, 347.129681, 17.135319
14903.706, 347.258026, 17.300985
26013.197, 347.209834, 17.236254
28402.878, 347.297332, 17.345162
10631.004, 347.192340, 17.205386
17413.498, 347.110259, 17.090885
43695.112, 347.296695, 17.329644
9857.735, 347.267948, 17.294365
39635.449, 347.279768, 17.306064
275603.865, 347.214288, 17.215040
146647.794, 347.168912, 17.137334
6165.992, 347.206292, 17.190141
