# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
4547.674, 347.088980, 17.370454
11281.286, 346.977715, 17.224046
20470.037, 346.912362, 17.137801
2974.530, 346.974842, 17.220708
25048.966, 346.938181, 17.170530
3475.097, 347.091810, 17.366172
22668.361, 347.074146, 17.340130
42329.650, 347.012080, 17.255252
2587.647, 347.085320, 17.353477
2604.059, 346.961802, 17.190627
2665.117, 347.080479, 17.344361
32221.701, 347.148504, 17.429819
45614.096, 347.121141, 17.392742
7120.148, 346.950239, 17.172047
3783.563, 347.116223, 17.386985
91777.544, 347.103249, 17.364654
2695.776, 347.008309, 17.246146
15754.100, 347.086339, 17.344099
81240.819, 347.072379, 17.323235
2244.383, 347.039514, 17.282256
3419.043, 347.022158, 17.257635
19443.339, 346.915295, 17.115188
20383.337, 347.113445, 17.371710
1916.394, 347.102943, 17.358561
41223.587, 346.950232, 17.156434
2224.807, 347.067265, 17.308426
7875.659, 347.022411, 17.247977
28431.389, 347.012561, 17.231571
2243.983, 347.062949, 17.298827
3413.575, 346.962664, 17.167714
249062.982, 346.970126, 17.170218
17247.628, 346.929783, 17.121906
1871.664, 347.171031, 17.433027
3015.101, 346.935494, 17.125748
10584.450, 347.113758, 17.352753
7096.147, 346.991021, 17.193485
9847.558, 347.059141, 17.280683
4960.937, 347.051518, 17.269677
2984.509, 347.063662, 17.285128
33437.589, 347.034369, 17.242975
9818.325, 346.988389, 17.184982
4585.656, 347.107481, 17.338752
7971.341, 346.939309, 17.118078
6367.499, 347.174521, 17.424497
6026.243, 347.127902, 17.360747
2393.611, 347.016347, 17.214803
61697.363, 347.007006, 17.198530
13959.958, 347.118264, 17.343946
72978.005, 346.986436, 17.169810
3717.755, 347.042977, 17.246254
4591.371, 347.028917, 17.224434
5659.068, 347.189317, 17.431041
1907.840, 347.055364, 17.256275
114953.221, 347.124064, 17.338628
26914.740, 346.995918, 17.173411
3406.055, 347.098127, 17.306905
6052.449, 347.120222, 17.332632
4577.390, 346.937378, 17.093641
1865.283, 347.090773, 17.291146
51243.354, 347.087118, 17.282511
5689.904, 347.151241, 17.367146
2269.881, 347.106077, 17.308810
6350.575, 347.127537, 17.334027
3396.955, 346.972165, 17.130006
4582.449, 347.058727, 17.242072
3774.220, 347.174573, 17.391585
1922.305, 347.190764, 17.411774
12196.143, 347.125545, 17.323610
45339.499, 346.993481, 17.147880
5302.985, 347.048179, 17.220628
4517.529, 347.039977, 17.205576
28363.269, 347.068449, 17.239382
3430.010, 347.079608, 17.255312
7613.170, 347.145768, 17.339473
5639.190, 347.047684, 17.207847
151550.500, 347.067905, 17.224619
1913.253, 347.175725, 17.369640
29242.245, 347.082942, 17.246924
9068.797, 347.092597, 17.258926
17124.400, 346.996066, 17.131919
2185.698, 347.101001, 17.269434
3032.180, 347.079099, 17.239613
1884.574, 346.995292, 17.127750
17535.143, 347.214887, 17.411681
3431.746, 347.005372, 17.139722
2653.324, 347.088452, 17.247229
6378.912, 347.125867, 17.294490
7646.392, 347.092687, 17.246349
1890.071, 346.995720, 17.120448
15406.407, 347.164033, 17.332333
4470.386, 347.051886, 17.186770
5682.164, 347.044900, 17.175391
6468.940, 347.152503, 17.312344
3708.035, 347.052264, 17.181811
30890.554, 347.077891, 17.210232
3828.245, 346.990259, 17.097197
71247.028, 347.126521, 17.268467
3398.404, 347.097758, 17.235382
46038.701, 347.046948, 17.161176
3032.025, 347.054509, 17.174102
3804.424, 346.998676, 17.101231
16550.204, 347.074561, 17.197014
1915.779, 347.145238, 17.290099
1931.372, 347.140794, 17.282907
3807.006, 347.166933, 17.315300
9184.559, 347.132228, 17.269564
1868.547, 347.070568, 17.190615
55842.975, 346.998175, 17.092433
8105.893, 347.138561, 17.276512
22775.057, 347.021662, 17.118777
19530.869, 347.025691, 17.123991
3043.493, 347.115075, 17.238957
81750.896, 347.133394, 17.257395
3406.003, 347.035716, 17.131180
4921.227, 347.094106, 17.204830
49281.372, 347.058145, 17.155176
10666.569, 347.207336, 17.350212
43620.159, 347.185931, 17.318462
6466.912, 347.036469, 17.124897
2247.417, 347.182144, 17.314024
229532.795, 347.184266, 17.305035
22298.568, 347.107517, 17.210007
4853.515, 347.022456, 17.097520
49276.312, 347.138904, 17.243703
3763.137, 347.028515, 17.101979
2242.466, 347.097567, 17.188387
2312.318, 347.229117, 17.358489
19688.616, 347.112339, 17.201199
26585.918, 347.105108, 17.191045
7189.558, 347.211609, 17.328385
63592.632, 347.020175, 17.075673
6780.117, 347.008382, 17.063553
4470.837, 347.155128, 17.254016
54549.207, 347.002243, 17.046328
4183.932, 347.092240, 17.166944
9388.505, 347.019451, 17.068253
25237.129, 347.129754, 17.210484
3430.033, 347.108169, 17.180878
3721.136, 347.172126, 17.263571
42238.259, 347.229184, 17.332607
12243.351, 347.190036, 17.284145
2686.768, 347.208654, 17.307442
4141.019, 347.215938, 17.314614
46044.475, 347.168213, 17.249918
31398.104, 347.252548, 17.358864
3009.096, 347.059151, 17.105373
1890.392, 347.257322, 17.361009
5236.497, 347.147150, 17.216253
5258.232, 347.178051, 17.254668
1913.194, 347.157744, 17.227327
115079.075, 347.104304, 17.151973
4507.305, 347.169812, 17.242054
42111.377, 347.096629, 17.138304
8661.972, 347.257908, 17.349270
58555.702, 347.042744, 17.064251
55607.951, 347.090889, 17.125186
63832.047, 347.193625, 17.254984
3069.915, 347.202006, 17.269049
3839.615, 347.110057, 17.148900
3505.096, 347.189698, 17.250493
2641.356, 347.037823, 17.045471
7227.750, 347.283864, 17.363477
2251.856, 347.263802, 17.338303
4495.308, 347.262814, 17.335968
22488.744, 347.244838, 17.311187
4559.578, 347.134305, 17.168919
15801.950, 347.118484, 17.145830
6816.818, 347.049796, 17.054548
3724.210, 347.140694, 17.173010
10106.995, 347.158187, 17.194329
60796.721, 347.132970, 17.155548
34762.648, 347.286287, 17.355533
43421.396, 347.218671, 17.266198
4864.684, 347.223767, 17.274731
2368.820, 347.201362, 17.246403
4120.765, 347.194783, 17.233556
2619.091, 347.186849, 17.223633
1907.403, 347.141919, 17.164852
7562.447, 347.278409, 17.339929
3389.650, 347.210600, 17.251081
3060.258, 347.151026, 17.173573
4886.987, 347.059334, 17.051580
14831.401, 347.256702, 17.304817
4853.002, 347.133893, 17.146677
2241.406, 347.243670, 17.288058
21064.402, 347.150576, 17.163150
4176.503, 347.279599, 17.334012
3398.973, 347.217833, 17.253788
8237.147, 347.206181, 17.237905
4987.323, 347.297912, 17.355919
4535.733, 347.292115, 17.344861
4123.828, 347.233553, 17.268032
1921.523, 347.189166, 17.210356
1898.471, 347.072902, 17.057329
2724.012, 347.146050, 17.151759
8918.225, 347.173662, 17.186010
2989.957, 347.170748, 17.181263
3396.339, 347.161905, 17.170175
8557.865, 347.276042, 17.316272
7947.543, 347.202390, 17.221493
2625.383, 347.265980, 17.303168
