# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
28933.375, 339.634139, 1.652168
162192.608, 339.547627, 1.705179
5455.754, 339.388387, 1.814148
12806.787, 339.497804, 1.738124
133510.771, 339.405689, 1.795882
11439.930, 339.500534, 1.734175
4779.062, 339.377562, 1.815441
3578.046, 339.437335, 1.775000
37118.330, 339.386853, 1.804828
43029.460, 339.682479, 1.609664
11371.402, 339.378962, 1.809727
7181.062, 339.374949, 1.812964
81573.591, 339.625923, 1.644327
19230.811, 339.441768, 1.767688
7244.306, 339.399090, 1.795385
14348.289, 339.408817, 1.788578
11401.234, 339.382261, 1.806539
10804.439, 339.415858, 1.783986
14990.514, 339.511556, 1.719317
3597.690, 339.424959, 1.777117
3656.961, 339.503832, 1.723835
5361.275, 339.506287, 1.718218
6073.150, 339.482403, 1.733653
4253.696, 339.551646, 1.686455
3631.118, 339.456541, 1.749520
12632.710, 339.426650, 1.768677
7179.774, 339.394928, 1.789908
6018.929, 339.408525, 1.779784
14294.569, 339.398867, 1.784813
4824.080, 339.455821, 1.747172
3028.258, 339.401352, 1.782119
10761.087, 339.449526, 1.748153
9678.649, 339.384347, 1.789305
177700.349, 339.695349, 1.582210
7169.602, 339.405545, 1.775628
7734.481, 339.374647, 1.793277
10238.154, 339.444330, 1.746644
7208.946, 339.387628, 1.783878
4167.545, 339.461658, 1.735277
3666.950, 339.571280, 1.662215
4243.459, 339.562416, 1.667649
6022.540, 339.404908, 1.771137
3648.637, 339.424269, 1.757206
3003.691, 339.410272, 1.765613
6525.739, 339.379411, 1.785903
19196.938, 339.399391, 1.771449
2990.274, 339.390092, 1.777131
6072.862, 339.364710, 1.793514
100282.054, 339.458159, 1.729211
3039.181, 339.404492, 1.765759
16720.811, 339.449119, 1.735108
5464.969, 339.461913, 1.726692
18076.625, 339.378253, 1.780092
49664.820, 339.507942, 1.694083
14516.993, 339.397473, 1.768051
6028.383, 339.471643, 1.718718
17289.552, 339.364751, 1.788982
5898.773, 339.520135, 1.686350
8904.906, 339.360030, 1.791046
3591.905, 339.427417, 1.747515
15016.428, 339.364082, 1.786193
343523.025, 339.605962, 1.622122
85710.634, 339.438924, 1.734311
7771.295, 339.409375, 1.756569
5978.424, 339.373980, 1.779746
2982.508, 339.509759, 1.688951
6586.656, 339.385039, 1.770904
6576.076, 339.358790, 1.788260
17347.764, 339.582936, 1.639950
8984.792, 339.505184, 1.690777
3004.771, 339.396656, 1.760981
25027.299, 339.359522, 1.784464
5422.380, 339.461915, 1.712946
48850.339, 339.671913, 1.572524
120234.321, 339.513223, 1.674046
3539.441, 339.399827, 1.751869
41363.728, 339.368527, 1.770141
8996.758, 339.434610, 1.726074
3545.543, 339.384954, 1.758611
2993.335, 339.372896, 1.765712
13269.934, 339.357246, 1.774639
10203.717, 339.380359, 1.758598
19302.948, 339.373542, 1.760591
15678.377, 339.414204, 1.731977
3029.406, 339.471886, 1.692829
2959.215, 339.410351, 1.732383
8961.329, 339.394305, 1.742167
4187.914, 339.362240, 1.762266
19117.832, 339.382204, 1.746051
9598.541, 339.422950, 1.719869
73937.139, 339.417811, 1.719073
8930.877, 339.439264, 1.705220
10887.077, 339.431359, 1.710032
34730.509, 339.578807, 1.611566
166345.841, 339.521806, 1.646150
11943.951, 339.392351, 1.735060
2953.830, 339.487699, 1.670486
3609.699, 339.380997, 1.740688
3618.815, 339.453457, 1.689781
6596.447, 339.414239, 1.713901
18584.322, 339.343981, 1.758428
14400.922, 339.369643, 1.740903
4175.490, 339.365589, 1.743099
22225.909, 339.446661, 1.687952
4763.406, 339.443048, 1.691325
317043.495, 339.401664, 1.710603
14921.700, 339.374898, 1.732644
10765.290, 339.439260, 1.688645
3601.525, 339.391496, 1.721011
10161.564, 339.354252, 1.744875
7887.598, 339.337496, 1.755955
91909.106, 339.413383, 1.702985
5430.395, 339.379044, 1.728037
4845.049, 339.408533, 1.707603
13810.538, 339.367786, 1.733282
14410.070, 339.346080, 1.747952
43614.909, 339.351518, 1.742010
2985.346, 339.374646, 1.728091
13059.066, 339.338362, 1.750244
111376.716, 339.679709, 1.520731
5437.051, 339.478753, 1.653983
4802.270, 339.515308, 1.629488
3605.415, 339.436423, 1.681960
80960.710, 339.390608, 1.709555
4775.587, 339.552499, 1.603444
20283.182, 339.359598, 1.729976
4179.031, 339.423114, 1.687996
3014.680, 339.425719, 1.685977
11936.646, 339.352300, 1.733262
20870.607, 339.544605, 1.605512
10267.639, 339.414776, 1.688842
6630.756, 339.405693, 1.692245
7774.950, 339.391417, 1.701349
8465.012, 339.330365, 1.742151
11407.479, 339.539191, 1.600064
8399.488, 339.336848, 1.733543
9567.557, 339.351136, 1.723863
3021.575, 339.583024, 1.570532
31859.389, 339.660508, 1.514430
79020.348, 339.415944, 1.674134
6026.032, 339.497289, 1.623709
25085.857, 339.351411, 1.717427
11995.903, 339.340297, 1.725439
8426.595, 339.333238, 1.729317
3577.366, 339.478798, 1.633405
117449.241, 339.642249, 1.521948
3594.580, 339.324076, 1.733913
10190.228, 339.550224, 1.583862
4203.524, 339.524622, 1.601373
7804.287, 339.467640, 1.638459
4765.410, 339.470191, 1.636393
8354.124, 339.368340, 1.702052
4840.974, 339.364502, 1.705006
14992.613, 339.322933, 1.729609
26270.073, 339.341719, 1.717030
3604.577, 339.352930, 1.710234
10821.701, 339.349293, 1.711567
11970.534, 339.345641, 1.711969
5433.330, 339.467546, 1.631311
4198.673, 339.417218, 1.664178
4805.276, 339.328068, 1.721391
12030.679, 339.347691, 1.707374
13184.952, 339.383854, 1.681792
6552.688, 339.335323, 1.715190
5479.191, 339.411268, 1.664973
3557.760, 339.504082, 1.602318
7206.149, 339.372908, 1.687831
70127.791, 339.598421, 1.536693
3039.464, 339.338342, 1.709283
22889.770, 339.330203, 1.713993
10825.755, 339.346849, 1.701400
17984.901, 339.367818, 1.687210
3659.111, 339.428174, 1.647619
6601.320, 339.388071, 1.673857
30619.380, 339.470398, 1.617752
155641.446, 339.410125, 1.653371
8946.848, 339.361180, 1.688726
15036.134, 339.315249, 1.718135
5917.628, 339.394599, 1.666127
6593.603, 339.388169, 1.670301
10775.294, 339.478231, 1.610536
3617.317, 339.354480, 1.692475
16121.063, 339.336978, 1.703665
23313.353, 339.447237, 1.629858
19191.625, 339.434306, 1.638028
13748.111, 339.375954, 1.677044
19096.612, 339.541229, 1.566976
31653.535, 339.339491, 1.698095
135495.274, 339.636189, 1.501414
5429.777, 339.318125, 1.714469
130802.723, 339.436087, 1.631871
4793.616, 339.361949, 1.684565
10790.301, 339.390810, 1.664532
47930.209, 339.312182, 1.715349
9782.481, 339.319387, 1.710125
18588.596, 339.429706, 1.635568
7164.614, 339.401285, 1.655263
8976.836, 339.359160, 1.681132
3603.547, 339.322315, 1.705985
22670.014, 339.376662, 1.668298
4205.831, 339.349269, 1.686465
5372.234, 339.337939, 1.692772
13347.578, 339.556805, 1.547659
6673.230, 339.400342, 1.651117
15522.634, 339.321928, 1.701645
13347.151, 339.626620, 1.500200
84061.426, 339.549901, 1.548188
6573.362, 339.545065, 1.553940
13241.622, 339.326026, 1.697888
7205.190, 339.333391, 1.692207
20118.106, 339.521391, 1.566765
10207.126, 339.490544, 1.587574
3014.987, 339.461050, 1.607501
6605.184, 339.401024, 1.646593
3570.287, 339.451036, 1.612982
7838.922, 339.439020, 1.618143
4213.913, 339.374702, 1.661311
3567.523, 339.484355, 1.588542
12637.677, 339.406050, 1.638795
4213.186, 339.511047, 1.569530
10814.051, 339.502158, 1.574303
3022.382, 339.382110, 1.654163
2987.975, 339.429507, 1.622024
5398.816, 339.324069, 1.691867
11884.292, 339.302353, 1.703829
178190.198, 339.636921, 1.479259
7202.786, 339.409213, 1.632845
4245.961, 339.324567, 1.688692
12605.138, 339.359018, 1.662800
26220.891, 339.334158, 1.678340
4240.776, 339.413648, 1.625609
3009.713, 339.380005, 1.647792
9605.559, 339.348351, 1.667736
7255.348, 339.452546, 1.598440
3043.550, 339.440465, 1.606335
261897.843, 339.532250, 1.540920
6078.837, 339.353818, 1.662580
6571.876, 339.312529, 1.689497
172855.144, 339.629619, 1.474596
4759.048, 339.320405, 1.683566
