# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
65911.346, 339.446831, 1.786316
11971.063, 339.398579, 1.817414
9113.685, 339.451640, 1.781533
28820.006, 339.388059, 1.820386
18251.931, 339.419032, 1.801449
9135.352, 339.529778, 1.727490
3925.719, 339.487686, 1.754557
3974.448, 339.454277, 1.775480
52317.144, 339.391260, 1.814136
56626.073, 339.634568, 1.653593
3442.511, 339.578953, 1.692416
28380.224, 339.692641, 1.614287
6221.757, 339.490202, 1.748093
12496.764, 339.576431, 1.690086
149761.638, 339.547790, 1.705442
5076.808, 339.482980, 1.752189
13072.391, 339.440969, 1.777957
12543.204, 339.420213, 1.791577
7413.048, 339.385810, 1.813608
98132.315, 339.405092, 1.796682
6881.203, 339.414177, 1.793974
5675.466, 339.396586, 1.804865
5730.007, 339.436177, 1.777359
12015.679, 339.413777, 1.790752
8029.645, 339.399972, 1.799787
6893.365, 339.458392, 1.760577
2887.799, 339.475677, 1.748850
7975.044, 339.410555, 1.789770
75962.917, 339.625912, 1.644638
3373.624, 339.427362, 1.778211
28272.074, 339.432818, 1.772561
11876.977, 339.394787, 1.797185
5064.032, 339.388964, 1.800794
5730.856, 339.508551, 1.720523
3978.902, 339.533273, 1.704065
6279.119, 339.502384, 1.723537
2814.216, 339.467506, 1.746582
27275.264, 339.402732, 1.787239
6748.476, 339.438420, 1.765023
25460.253, 339.398872, 1.789687
23882.181, 339.392992, 1.793516
25466.648, 339.416769, 1.775176
3447.521, 339.468907, 1.739587
15873.298, 339.388849, 1.791508
5743.717, 339.652430, 1.617996
5646.235, 339.410381, 1.777824
7368.164, 339.378919, 1.797436
3967.813, 339.434216, 1.760349
11929.792, 339.394413, 1.785803
5138.238, 339.445003, 1.752861
16479.998, 339.413854, 1.771138
172025.407, 339.695045, 1.582363
12034.717, 339.511971, 1.705032
51865.362, 339.518350, 1.698867
34080.767, 339.372082, 1.796027
27332.632, 339.407796, 1.772395
8541.191, 339.613862, 1.636230
78315.913, 339.381493, 1.786815
15343.477, 339.450493, 1.741977
7414.154, 339.399546, 1.775682
5843.709, 339.533072, 1.687114
4573.379, 339.453032, 1.739351
5156.824, 339.390797, 1.779267
3973.419, 339.529936, 1.686635
19954.143, 339.406718, 1.766729
9142.055, 339.423031, 1.755871
3969.599, 339.409996, 1.763475
8573.948, 339.455104, 1.732814
5141.149, 339.446491, 1.738662
20909.163, 339.520294, 1.685860
42596.772, 339.682008, 1.577093
333456.524, 339.606114, 1.622071
3898.267, 339.500235, 1.696218
63201.739, 339.438404, 1.734855
9080.404, 339.389087, 1.768636
16493.428, 339.582609, 1.640750
9653.348, 339.452484, 1.727197
6876.332, 339.464628, 1.716351
10766.273, 339.368426, 1.779424
5623.888, 339.404220, 1.755304
4007.532, 339.398818, 1.757483
4599.804, 339.414046, 1.746857
2861.828, 339.373889, 1.773745
23822.900, 339.365049, 1.778952
3983.937, 339.377965, 1.770475
4546.558, 339.420395, 1.740619
92408.663, 339.513161, 1.674329
4591.468, 339.392411, 1.756679
82024.460, 339.369944, 1.768000
4556.442, 339.478497, 1.697271
5077.462, 339.360071, 1.774998
7452.180, 339.622716, 1.601564
6243.487, 339.411290, 1.740276
4537.030, 339.455587, 1.710969
7408.435, 339.570093, 1.634700
13632.774, 339.451104, 1.712974
18223.058, 339.382032, 1.758113
9146.349, 339.489827, 1.687031
10290.255, 339.442234, 1.716973
8483.349, 339.438057, 1.718821
9144.554, 339.388832, 1.750284
10760.414, 339.693650, 1.548258
4479.871, 339.607102, 1.603830
8682.457, 339.410252, 1.733799
15327.132, 339.358361, 1.766543
3987.449, 339.355139, 1.768411
5169.161, 339.437008, 1.712016
5146.120, 339.385680, 1.745303
22738.790, 339.350974, 1.765448
32326.728, 339.364076, 1.755947
5682.959, 339.390358, 1.739469
48256.132, 339.604905, 1.595672
67730.894, 339.417627, 1.719239
9051.626, 339.410348, 1.724970
5125.704, 339.367498, 1.753438
38064.362, 339.579086, 1.611122
136332.688, 339.521443, 1.645928
17104.977, 339.398057, 1.729802
2858.510, 339.355524, 1.758500
2903.177, 339.498329, 1.661714
5680.036, 339.362336, 1.751211
4019.981, 339.471354, 1.678077
3447.313, 339.401699, 1.723210
10706.099, 339.370210, 1.743756
8544.632, 339.414499, 1.713667
8595.156, 339.374987, 1.739732
8547.240, 339.511502, 1.648904
13046.372, 339.360771, 1.747959
10223.453, 339.381337, 1.733840
2832.257, 339.565865, 1.611665
2856.976, 339.446489, 1.690555
3488.246, 339.525662, 1.637980
5134.316, 339.447729, 1.688785
5751.526, 339.402212, 1.718246
11416.941, 339.361831, 1.744301
11421.287, 339.451470, 1.684243
11335.998, 339.410082, 1.711927
2799.898, 339.503952, 1.649742
9669.022, 339.461042, 1.676064
3982.154, 339.541536, 1.623376
304050.822, 339.401588, 1.710571
4549.124, 339.479572, 1.663279
5700.170, 339.464409, 1.673092
3446.664, 339.456021, 1.677891
27206.944, 339.361906, 1.738887
30105.946, 339.350959, 1.744672
4575.053, 339.538712, 1.622817
75923.892, 339.413500, 1.702961
9090.964, 339.386061, 1.723305
2892.092, 339.390215, 1.720248
7402.788, 339.348097, 1.746370
9641.063, 339.393033, 1.716026
10849.545, 339.549759, 1.611389
5688.148, 339.366052, 1.733057
3987.161, 339.341387, 1.749122
6169.782, 339.568687, 1.597435
92066.346, 339.679537, 1.520618
82008.051, 339.391100, 1.709574
3409.928, 339.352287, 1.738019
25488.480, 339.383953, 1.714797
3457.192, 339.466318, 1.661548
2807.173, 339.431010, 1.684946
19174.628, 339.336888, 1.745140
24355.851, 339.342097, 1.741713
2840.226, 339.354560, 1.733341
6798.035, 339.421226, 1.688745
4552.654, 339.373462, 1.720016
6863.484, 339.361528, 1.727092
11382.847, 339.365138, 1.724080
7952.615, 339.457982, 1.661797
3435.702, 339.602965, 1.566085
12452.862, 339.444477, 1.669245
17563.703, 339.373419, 1.715990
15966.150, 339.451972, 1.661758
11876.802, 339.517959, 1.618688
10242.214, 339.473719, 1.646739
3463.658, 339.389708, 1.702919
5781.693, 339.354103, 1.725182
10243.156, 339.441809, 1.666116
3383.418, 339.406007, 1.690493
6258.136, 339.357491, 1.721955
26122.991, 339.418489, 1.679490
8069.793, 339.337713, 1.733226
32917.971, 339.539489, 1.597833
7413.836, 339.451606, 1.656866
11346.136, 339.483993, 1.635510
2903.518, 339.471403, 1.643936
4045.907, 339.333631, 1.734823
3368.806, 339.547950, 1.591836
7418.566, 339.371378, 1.708315
12567.564, 339.413069, 1.679724
49651.011, 339.661134, 1.514269
4025.458, 339.421669, 1.673827
3618.583, 339.604516, 1.552618
81989.325, 339.414839, 1.674139
14812.465, 339.348210, 1.720463
111413.000, 339.642137, 1.521856
7390.105, 339.490800, 1.624116
81566.915, 339.376359, 1.696289
10864.399, 339.330818, 1.729157
3343.908, 339.406818, 1.679266
6250.093, 339.486672, 1.624851
2929.255, 339.363223, 1.706009
8520.798, 339.536815, 1.589290
24524.231, 339.462229, 1.637843
8063.739, 339.360365, 1.705104
14642.275, 339.355731, 1.706676
23192.773, 339.326818, 1.725135
29134.220, 339.541283, 1.583221
13131.391, 339.377326, 1.691251
6284.086, 339.349008, 1.711129
3404.372, 339.340909, 1.716653
33074.683, 339.480498, 1.622608
2781.907, 339.339198, 1.717500
6836.200, 339.361527, 1.701956
3468.946, 339.345440, 1.712578
3460.087, 339.526944, 1.592092
3419.641, 339.389200, 1.683181
49912.841, 339.330376, 1.718880
114933.113, 339.598824, 1.536404
8636.132, 339.378295, 1.686527
5674.026, 339.366888, 1.693970
14191.148, 339.324500, 1.720816
2803.972, 339.357751, 1.699069
3955.232, 339.337962, 1.711405
6811.692, 339.375233, 1.685014
12533.306, 339.378142, 1.681927
17512.402, 339.322587, 1.717943
20915.972, 339.397277, 1.667722
3433.356, 339.525807, 1.583464
6319.568, 339.522888, 1.585434
152325.542, 339.410479, 1.654155
2863.108, 339.489717, 1.606365
2823.874, 339.466221, 1.621785
21025.161, 339.369981, 1.683998
21003.667, 339.323915, 1.712820
7983.955, 339.446738, 1.634021
3425.449, 339.422403, 1.650054
4533.431, 339.360612, 1.690042
16877.660, 339.477593, 1.611101
23195.274, 339.342339, 1.700768
3454.707, 339.544302, 1.567621
4009.183, 339.521923, 1.581986
