# Source Fluxes and Coordinates
# Flux (e-/s), RA (deg), Dec (deg)
174021.118, 339.547868, 1.705581
10262.396, 339.419611, 1.792982
4496.297, 339.633574, 1.651735
113758.166, 339.405153, 1.796733
11103.860, 339.504589, 1.733412
25170.216, 339.415606, 1.791324
23858.082, 339.384834, 1.808108
19972.410, 339.387561, 1.805366
27539.012, 339.689681, 1.604532
79413.939, 339.625928, 1.644590
7651.883, 339.412059, 1.786740
16107.425, 339.394703, 1.793629
4508.739, 339.383012, 1.800983
12357.122, 339.403113, 1.785189
7079.227, 339.379616, 1.801364
4601.795, 339.432529, 1.759684
208603.076, 339.695524, 1.582004
5897.332, 339.461653, 1.739033
8360.289, 339.398314, 1.779929
30016.954, 339.413185, 1.765426
3262.925, 339.543329, 1.679661
11593.522, 339.373959, 1.788664
3265.528, 339.380697, 1.783998
32868.839, 339.376543, 1.784948
8327.044, 339.474204, 1.720281
13117.022, 339.404477, 1.763428
16704.331, 339.383648, 1.775102
379588.198, 339.606090, 1.622075
65892.273, 339.438592, 1.734865
3883.827, 339.533150, 1.672722
5749.845, 339.583235, 1.639236
12182.627, 339.418893, 1.746108
4513.452, 339.379101, 1.768800
3198.679, 339.476098, 1.704017
48447.573, 339.678801, 1.567201
3204.686, 339.518502, 1.674382
118198.049, 339.513198, 1.674172
92137.464, 339.453942, 1.714134
48981.716, 339.369319, 1.770438
14209.173, 339.359984, 1.774065
3951.263, 339.488761, 1.687099
16710.787, 339.410505, 1.735269
3965.939, 339.544797, 1.647422
6501.265, 339.494134, 1.679716
19223.999, 339.376393, 1.756686
4556.806, 339.450813, 1.708117
81396.695, 339.417543, 1.718877
45548.928, 339.579657, 1.611590
5176.222, 339.360688, 1.757178
31497.662, 339.604356, 1.594031
170304.555, 339.521305, 1.645357
24979.980, 339.364365, 1.751278
24946.793, 339.379833, 1.736753
7774.404, 339.407675, 1.718120
354572.487, 339.400966, 1.710747
12853.820, 339.358336, 1.744385
75161.988, 339.412489, 1.703117
10376.143, 339.466376, 1.669933
6453.510, 339.508706, 1.641635
20578.799, 339.364613, 1.735058
4554.159, 339.349117, 1.745811
3930.950, 339.371250, 1.730014
7108.312, 339.381958, 1.721235
3916.160, 339.392337, 1.713965
18746.214, 339.354305, 1.737870
120798.137, 339.679846, 1.520195
3882.923, 339.442179, 1.680137
8358.833, 339.426978, 1.689712
12902.039, 339.385867, 1.715650
